id,daily_report_date,daily_report_timing,project_boq_scope_id,project_id,request_date,used_material,line_id
64,22/05/2025,evening,89,252,,0,5
65,22/05/2025,evening,90,252,,0,7
66,22/05/2025,evening,88,252,,0,16
67,22/05/2025,evening,97,252,,0,20
68,22/05/2025,evening,95,252,,0,21
69,22/05/2025,evening,100,252,,0,31
70,22/05/2025,evening,102,252,,0,32
71,22/05/2025,evening,94,252,,0,35
72,22/05/2025,evening,91,252,,0,45
73,22/05/2025,evening,98,252,,0,131
74,22/05/2025,evening,92,252,,0,146
75,22/05/2025,evening,93,252,,0,147
76,22/05/2025,evening,96,252,,0,148
77,22/05/2025,evening,99,252,,0,149
78,22/05/2025,evening,101,252,,0,150
79,22/05/2025,evening,103,252,,0,152
80,22/05/2025,evening,104,252,,0,153
81,22/05/2025,evening,105,252,,0,154
82,22/05/2025,evening,106,252,,0,155
83,22/05/2025,evening,107,252,,0,156
84,22/05/2025,evening,108,252,,0,157
85,22/05/2025,evening,109,252,,0,158
86,22/05/2025,evening,78,252,,685,57
87,22/05/2025,evening,80,252,,89,59
88,22/05/2025,evening,85,252,,0,75
89,22/05/2025,evening,77,252,,66,77
90,22/05/2025,evening,83,252,,0,130
91,22/05/2025,evening,84,252,,0,140
92,22/05/2025,evening,82,252,,44,144
93,22/05/2025,evening,62,250,,36,101
94,22/05/2025,evening,61,250,,0,106
95,22/05/2025,evening,69,250,,0,107
96,22/05/2025,evening,66,250,,0,113
97,22/05/2025,evening,65,250,,0,117
98,22/05/2025,evening,64,250,,45,121
99,22/05/2025,evening,72,250,,0,2
100,22/05/2025,evening,68,250,,0,57
101,22/05/2025,evening,70,250,,0,59
102,22/05/2025,evening,71,250,,0,62
103,22/05/2025,evening,67,250,,0,77
104,22/05/2025,evening,63,250,,0,143
105,22/05/2025,evening,124,253,,0,102
106,22/05/2025,evening,123,253,,0,103
107,22/05/2025,evening,125,253,,0,107
108,22/05/2025,evening,122,253,,0,113
109,22/05/2025,evening,129,253,,0,117
110,22/05/2025,evening,130,253,,0,121
111,22/05/2025,evening,137,253,,0,2
112,22/05/2025,evening,148,253,,0,5
113,22/05/2025,evening,146,253,,0,17
114,22/05/2025,evening,147,253,,0,165
115,22/05/2025,evening,140,253,,0,21
116,22/05/2025,evening,142,253,,0,28
117,22/05/2025,evening,145,253,,0,31
118,22/05/2025,evening,141,253,,0,35
119,22/05/2025,evening,150,253,,0,152
120,22/05/2025,evening,138,253,,0,156
121,22/05/2025,evening,139,253,,0,157
122,22/05/2025,evening,143,253,,0,163
123,22/05/2025,evening,144,253,,0,164
124,22/05/2025,evening,149,253,,0,166
125,22/05/2025,evening,151,253,,0,167
126,22/05/2025,evening,126,253,,0,49
127,22/05/2025,evening,135,253,,0,55
128,22/05/2025,evening,133,253,,0,57
129,22/05/2025,evening,128,253,,0,59
130,22/05/2025,evening,127,253,,0,60
131,22/05/2025,evening,134,253,,0,62
132,22/05/2025,evening,131,253,,0,65
133,22/05/2025,evening,132,253,,0,74
134,22/05/2025,evening,136,253,,0,162
139,23/05/2025,evening,124,253,,5,102
140,23/05/2025,evening,123,253,,42,103
141,23/05/2025,evening,125,253,,40,107
142,23/05/2025,evening,122,253,,120,113
143,23/05/2025,evening,129,253,,694,117
144,23/05/2025,evening,130,253,,51,121
145,23/05/2025,evening,137,253,,0,2
146,23/05/2025,evening,148,253,,0,5
147,23/05/2025,evening,146,253,,0,17
148,23/05/2025,evening,147,253,,0,165
149,23/05/2025,evening,140,253,,0,21
150,23/05/2025,evening,142,253,,0,28
151,23/05/2025,evening,145,253,,0,31
152,23/05/2025,evening,141,253,,0,35
153,23/05/2025,evening,150,253,,0,152
154,23/05/2025,evening,138,253,,0,156
155,23/05/2025,evening,139,253,,0,157
156,23/05/2025,evening,143,253,,0,163
157,23/05/2025,evening,144,253,,0,164
158,23/05/2025,evening,149,253,,0,166
159,23/05/2025,evening,151,253,,0,167
160,23/05/2025,evening,126,253,,76,49
161,23/05/2025,evening,135,253,,0,55
162,23/05/2025,evening,133,253,,0,57
163,23/05/2025,evening,128,253,,40,59
164,23/05/2025,evening,127,253,,112,60
165,23/05/2025,evening,134,253,,439,62
166,23/05/2025,evening,131,253,,208,65
167,23/05/2025,evening,132,253,,0,74
168,23/05/2025,evening,136,253,,0,162
169,23/05/2025,evening,62,250,,0,101
170,23/05/2025,evening,61,250,,0,106
171,23/05/2025,evening,69,250,,0,107
172,23/05/2025,evening,66,250,,0,113
173,23/05/2025,evening,65,250,,0,117
174,23/05/2025,evening,64,250,,0,121
175,23/05/2025,evening,72,250,,0,2
176,23/05/2025,evening,68,250,,0,57
177,23/05/2025,evening,70,250,,0,59
178,23/05/2025,evening,71,250,,0,62
179,23/05/2025,evening,67,250,,0,77
180,23/05/2025,evening,63,250,,0,143
181,23/05/2025,evening,73,252,,4,101
182,23/05/2025,evening,79,252,,0,107
183,23/05/2025,evening,76,252,,0,113
184,23/05/2025,evening,75,252,,0,117
185,23/05/2025,evening,74,252,,0,121
186,23/05/2025,evening,86,252,,0,1
187,23/05/2025,evening,81,252,,0,2
188,23/05/2025,evening,87,252,,0,3
189,23/05/2025,evening,89,252,,930,5
190,23/05/2025,evening,90,252,,0,7
191,23/05/2025,evening,88,252,,0,16
192,23/05/2025,evening,97,252,,0,20
193,23/05/2025,evening,95,252,,0,21
194,23/05/2025,evening,100,252,,0,31
195,23/05/2025,evening,102,252,,0,32
196,23/05/2025,evening,94,252,,0,35
197,23/05/2025,evening,91,252,,0,45
198,23/05/2025,evening,98,252,,0,131
199,23/05/2025,evening,92,252,,0,146
200,23/05/2025,evening,93,252,,0,147
201,23/05/2025,evening,96,252,,0,148
202,23/05/2025,evening,99,252,,0,149
203,23/05/2025,evening,101,252,,0,150
204,23/05/2025,evening,103,252,,0,152
205,23/05/2025,evening,104,252,,0,153
206,23/05/2025,evening,105,252,,0,154
207,23/05/2025,evening,106,252,,0,155
208,23/05/2025,evening,107,252,,0,156
209,23/05/2025,evening,108,252,,0,157
210,23/05/2025,evening,109,252,,0,158
211,23/05/2025,evening,78,252,,0,57
212,23/05/2025,evening,80,252,,0,59
213,23/05/2025,evening,85,252,,0,75
214,23/05/2025,evening,77,252,,0,77
215,23/05/2025,evening,83,252,,0,130
216,23/05/2025,evening,84,252,,0,140
217,23/05/2025,evening,82,252,,0,144
218,23/05/2025,evening,154,254,,10,102
219,23/05/2025,evening,153,254,,42,103
220,23/05/2025,evening,155,254,,46,107
221,23/05/2025,evening,152,254,,126,113
222,23/05/2025,evening,159,254,,722,117
223,23/05/2025,evening,160,254,,220,121
224,23/05/2025,evening,167,254,,0,2
225,23/05/2025,evening,178,254,,0,5
226,23/05/2025,evening,176,254,,0,17
227,23/05/2025,evening,177,254,,94,165
228,23/05/2025,evening,170,254,,0,21
229,23/05/2025,evening,172,254,,0,28
230,23/05/2025,evening,175,254,,0,31
231,23/05/2025,evening,171,254,,0,35
232,23/05/2025,evening,180,254,,0,152
233,23/05/2025,evening,168,254,,0,156
234,23/05/2025,evening,169,254,,0,157
235,23/05/2025,evening,173,254,,0,163
236,23/05/2025,evening,174,254,,0,164
237,23/05/2025,evening,179,254,,0,166
238,23/05/2025,evening,181,254,,0,167
239,23/05/2025,evening,156,254,,80,49
240,23/05/2025,evening,165,254,,26,55
241,23/05/2025,evening,163,254,,158,57
242,23/05/2025,evening,158,254,,40,59
243,23/05/2025,evening,157,254,,112,60
244,23/05/2025,evening,164,254,,703,62
245,23/05/2025,evening,161,254,,252,65
246,23/05/2025,evening,162,254,,0,74
247,23/05/2025,evening,166,254,,0,162
248,24/05/2025,evening,124,253,,0,102
249,24/05/2025,evening,123,253,,0,103
250,24/05/2025,evening,125,253,,0,107
251,24/05/2025,evening,122,253,,0,113
252,24/05/2025,evening,129,253,,0,117
253,24/05/2025,evening,130,253,,0,121
254,24/05/2025,evening,137,253,,0,2
255,24/05/2025,evening,148,253,,0,5
256,24/05/2025,evening,146,253,,0,17
257,24/05/2025,evening,147,253,,0,165
258,24/05/2025,evening,140,253,,0,21
259,24/05/2025,evening,142,253,,0,28
260,24/05/2025,evening,145,253,,0,31
261,24/05/2025,evening,141,253,,0,35
262,24/05/2025,evening,150,253,,0,152
263,24/05/2025,evening,138,253,,0,156
264,24/05/2025,evening,139,253,,0,157
265,24/05/2025,evening,143,253,,0,163
266,24/05/2025,evening,144,253,,0,164
267,24/05/2025,evening,149,253,,0,166
268,24/05/2025,evening,151,253,,0,167
269,24/05/2025,evening,126,253,,0,49
270,24/05/2025,evening,135,253,,0,55
271,24/05/2025,evening,133,253,,0,57
272,24/05/2025,evening,128,253,,0,59
273,24/05/2025,evening,127,253,,0,60
274,24/05/2025,evening,134,253,,0,62
275,24/05/2025,evening,131,253,,0,65
276,24/05/2025,evening,132,253,,0,74
277,24/05/2025,evening,136,253,,0,162
278,24/05/2025,evening,124,253,,0,102
279,24/05/2025,evening,123,253,,0,103
280,24/05/2025,evening,125,253,,0,107
281,24/05/2025,evening,122,253,,0,113
282,24/05/2025,evening,129,253,,0,117
283,24/05/2025,evening,130,253,,0,121
284,24/05/2025,evening,137,253,,0,2
285,24/05/2025,evening,148,253,,0,5
286,24/05/2025,evening,146,253,,0,17
287,24/05/2025,evening,147,253,,0,165
288,24/05/2025,evening,140,253,,0,21
289,24/05/2025,evening,142,253,,0,28
290,24/05/2025,evening,145,253,,0,31
291,24/05/2025,evening,141,253,,0,35
292,24/05/2025,evening,150,253,,0,152
293,24/05/2025,evening,138,253,,0,156
294,24/05/2025,evening,139,253,,0,157
295,24/05/2025,evening,143,253,,0,163
296,24/05/2025,evening,144,253,,0,164
297,24/05/2025,evening,149,253,,0,166
298,24/05/2025,evening,151,253,,0,167
299,24/05/2025,evening,126,253,,0,49
300,24/05/2025,evening,135,253,,0,55
301,24/05/2025,evening,133,253,,0,57
302,24/05/2025,evening,128,253,,0,59
303,24/05/2025,evening,127,253,,0,60
304,24/05/2025,evening,134,253,,0,62
305,24/05/2025,evening,131,253,,0,65
306,24/05/2025,evening,132,253,,0,74
307,24/05/2025,evening,136,253,,0,162
308,24/05/2025,evening,73,252,,0,101
309,24/05/2025,evening,79,252,,0,107
310,24/05/2025,evening,76,252,,0,113
311,24/05/2025,evening,75,252,,0,117
312,24/05/2025,evening,74,252,,0,121
313,24/05/2025,evening,86,252,,0,1
314,24/05/2025,evening,81,252,,0,2
315,24/05/2025,evening,87,252,,0,3
316,24/05/2025,evening,89,252,,0,5
317,24/05/2025,evening,90,252,,0,7
318,24/05/2025,evening,88,252,,0,16
319,24/05/2025,evening,97,252,,0,20
320,24/05/2025,evening,95,252,,0,21
321,24/05/2025,evening,100,252,,130,31
322,24/05/2025,evening,102,252,,13,32
323,24/05/2025,evening,94,252,,0,35
324,24/05/2025,evening,91,252,,260,45
325,24/05/2025,evening,98,252,,0,131
326,24/05/2025,evening,92,252,,0,146
327,24/05/2025,evening,93,252,,0,147
328,24/05/2025,evening,96,252,,0,148
329,24/05/2025,evening,99,252,,0,149
330,24/05/2025,evening,101,252,,0,150
331,24/05/2025,evening,103,252,,0,152
332,24/05/2025,evening,104,252,,0,153
333,24/05/2025,evening,105,252,,0,154
334,24/05/2025,evening,106,252,,0,155
335,24/05/2025,evening,107,252,,0,156
336,24/05/2025,evening,108,252,,0,157
337,24/05/2025,evening,109,252,,0,158
338,24/05/2025,evening,78,252,,0,57
339,24/05/2025,evening,80,252,,0,59
340,24/05/2025,evening,85,252,,0,75
341,24/05/2025,evening,77,252,,0,77
342,24/05/2025,evening,83,252,,0,130
343,24/05/2025,evening,84,252,,0,140
344,24/05/2025,evening,82,252,,0,144
345,24/05/2025,evening,62,250,,0,101
346,24/05/2025,evening,61,250,,0,106
347,24/05/2025,evening,69,250,,0,107
348,24/05/2025,evening,66,250,,0,113
349,24/05/2025,evening,65,250,,0,117
350,24/05/2025,evening,64,250,,0,121
351,24/05/2025,evening,72,250,,0,2
352,24/05/2025,evening,68,250,,0,57
353,24/05/2025,evening,70,250,,0,59
354,24/05/2025,evening,71,250,,0,62
355,24/05/2025,evening,67,250,,0,77
356,24/05/2025,evening,63,250,,0,143
357,24/05/2025,evening,154,254,,0,102
358,24/05/2025,evening,153,254,,0,103
359,24/05/2025,evening,155,254,,0,107
360,24/05/2025,evening,152,254,,0,113
361,24/05/2025,evening,159,254,,0,117
362,24/05/2025,evening,160,254,,0,121
363,24/05/2025,evening,167,254,,0,2
364,24/05/2025,evening,178,254,,552,5
365,24/05/2025,evening,176,254,,0,17
366,24/05/2025,evening,177,254,,0,165
367,24/05/2025,evening,170,254,,0,21
368,24/05/2025,evening,172,254,,0,28
369,24/05/2025,evening,175,254,,0,31
370,24/05/2025,evening,171,254,,0,35
371,24/05/2025,evening,180,254,,0,152
372,24/05/2025,evening,168,254,,0,156
373,24/05/2025,evening,169,254,,0,157
374,24/05/2025,evening,173,254,,152,163
375,24/05/2025,evening,174,254,,0,164
376,24/05/2025,evening,179,254,,0,166
377,24/05/2025,evening,181,254,,0,167
378,24/05/2025,evening,156,254,,0,49
379,24/05/2025,evening,165,254,,0,55
380,24/05/2025,evening,163,254,,0,57
381,24/05/2025,evening,158,254,,0,59
382,24/05/2025,evening,157,254,,0,60
383,24/05/2025,evening,164,254,,0,62
384,24/05/2025,evening,161,254,,0,65
385,24/05/2025,evening,162,254,,0,74
386,24/05/2025,evening,166,254,,0,162
387,25/05/2025,evening,124,253,,0,102
388,25/05/2025,evening,123,253,,0,103
389,25/05/2025,evening,125,253,,0,107
390,25/05/2025,evening,122,253,,0,113
391,25/05/2025,evening,129,253,,0,117
392,25/05/2025,evening,130,253,,0,121
393,25/05/2025,evening,137,253,,0,2
394,25/05/2025,evening,148,253,,0,5
395,25/05/2025,evening,146,253,,0,17
396,25/05/2025,evening,147,253,,0,165
397,25/05/2025,evening,140,253,,0,21
398,25/05/2025,evening,142,253,,0,28
399,25/05/2025,evening,145,253,,0,31
400,25/05/2025,evening,141,253,,0,35
401,25/05/2025,evening,150,253,,0,152
402,25/05/2025,evening,138,253,,0,156
403,25/05/2025,evening,139,253,,0,157
404,25/05/2025,evening,143,253,,0,163
405,25/05/2025,evening,144,253,,0,164
406,25/05/2025,evening,149,253,,0,166
407,25/05/2025,evening,151,253,,0,167
408,25/05/2025,evening,126,253,,0,49
409,25/05/2025,evening,135,253,,0,55
410,25/05/2025,evening,133,253,,0,57
411,25/05/2025,evening,128,253,,0,59
412,25/05/2025,evening,127,253,,0,60
413,25/05/2025,evening,134,253,,0,62
414,25/05/2025,evening,131,253,,0,65
415,25/05/2025,evening,132,253,,0,74
416,25/05/2025,evening,136,253,,0,162
417,25/05/2025,evening,154,254,,0,102
418,25/05/2025,evening,153,254,,0,103
419,25/05/2025,evening,155,254,,0,107
420,25/05/2025,evening,152,254,,0,113
421,25/05/2025,evening,159,254,,0,117
422,25/05/2025,evening,160,254,,0,121
423,25/05/2025,evening,167,254,,0,2
424,25/05/2025,evening,178,254,,0,5
425,25/05/2025,evening,176,254,,0,17
426,25/05/2025,evening,177,254,,0,165
427,25/05/2025,evening,170,254,,0,21
428,25/05/2025,evening,172,254,,0,28
429,25/05/2025,evening,175,254,,0,31
430,25/05/2025,evening,171,254,,0,35
431,25/05/2025,evening,180,254,,0,152
432,25/05/2025,evening,168,254,,0,156
433,25/05/2025,evening,169,254,,0,157
434,25/05/2025,evening,173,254,,0,163
435,25/05/2025,evening,174,254,,0,164
436,25/05/2025,evening,179,254,,0,166
437,25/05/2025,evening,181,254,,0,167
438,25/05/2025,evening,156,254,,0,49
439,25/05/2025,evening,165,254,,0,55
440,25/05/2025,evening,163,254,,0,57
441,25/05/2025,evening,158,254,,0,59
442,25/05/2025,evening,157,254,,0,60
443,25/05/2025,evening,164,254,,0,62
444,25/05/2025,evening,161,254,,0,65
445,25/05/2025,evening,162,254,,0,74
446,25/05/2025,evening,166,254,,0,162
447,26/05/2025,evening,73,252,,0,101
448,26/05/2025,evening,79,252,,0,107
449,26/05/2025,evening,76,252,,0,113
450,26/05/2025,evening,75,252,,0,117
451,26/05/2025,evening,74,252,,0,121
452,26/05/2025,evening,86,252,,0,1
453,26/05/2025,evening,81,252,,0,2
454,26/05/2025,evening,87,252,,0,3
455,26/05/2025,evening,89,252,,0,5
456,26/05/2025,evening,90,252,,0,7
457,26/05/2025,evening,88,252,,0,16
458,26/05/2025,evening,97,252,,0,20
459,26/05/2025,evening,95,252,,0,21
460,26/05/2025,evening,100,252,,0,31
461,26/05/2025,evening,102,252,,0,32
462,26/05/2025,evening,94,252,,0,35
463,26/05/2025,evening,91,252,,0,45
464,26/05/2025,evening,98,252,,0,131
465,26/05/2025,evening,92,252,,0,146
466,26/05/2025,evening,93,252,,0,147
467,26/05/2025,evening,96,252,,0,148
468,26/05/2025,evening,99,252,,0,149
469,26/05/2025,evening,101,252,,0,150
470,26/05/2025,evening,103,252,,0,152
471,26/05/2025,evening,104,252,,0,153
472,26/05/2025,evening,105,252,,0,154
473,26/05/2025,evening,106,252,,0,155
474,26/05/2025,evening,107,252,,0,156
475,26/05/2025,evening,108,252,,0,157
476,26/05/2025,evening,109,252,,0,158
477,26/05/2025,evening,78,252,,0,57
478,26/05/2025,evening,80,252,,0,59
479,26/05/2025,evening,85,252,,0,75
480,26/05/2025,evening,77,252,,0,77
481,26/05/2025,evening,83,252,,0,130
482,26/05/2025,evening,84,252,,0,140
483,26/05/2025,evening,82,252,,0,144
484,26/05/2025,evening,62,250,,0,101
485,26/05/2025,evening,61,250,,0,106
486,26/05/2025,evening,69,250,,0,107
487,26/05/2025,evening,66,250,,0,113
488,26/05/2025,evening,65,250,,0,117
489,26/05/2025,evening,64,250,,0,121
490,26/05/2025,evening,72,250,,0,2
491,26/05/2025,evening,68,250,,0,57
492,26/05/2025,evening,70,250,,0,59
493,26/05/2025,evening,71,250,,0,62
494,26/05/2025,evening,67,250,,0,77
495,26/05/2025,evening,63,250,,0,143
496,26/05/2025,evening,124,253,,0,102
497,26/05/2025,evening,123,253,,0,103
498,26/05/2025,evening,125,253,,0,107
499,26/05/2025,evening,122,253,,0,113
500,26/05/2025,evening,129,253,,0,117
501,26/05/2025,evening,130,253,,0,121
502,26/05/2025,evening,137,253,,0,2
503,26/05/2025,evening,148,253,,0,5
504,26/05/2025,evening,146,253,,0,17
505,26/05/2025,evening,147,253,,0,165
506,26/05/2025,evening,140,253,,0,21
507,26/05/2025,evening,142,253,,0,28
508,26/05/2025,evening,145,253,,0,31
509,26/05/2025,evening,141,253,,0,35
510,26/05/2025,evening,150,253,,0,152
511,26/05/2025,evening,138,253,,0,156
512,26/05/2025,evening,139,253,,0,157
513,26/05/2025,evening,143,253,,0,163
514,26/05/2025,evening,144,253,,0,164
515,26/05/2025,evening,149,253,,0,166
516,26/05/2025,evening,151,253,,0,167
517,26/05/2025,evening,126,253,,0,49
518,26/05/2025,evening,135,253,,0,55
519,26/05/2025,evening,133,253,,0,57
520,26/05/2025,evening,128,253,,0,59
521,26/05/2025,evening,127,253,,0,60
522,26/05/2025,evening,134,253,,0,62
523,26/05/2025,evening,131,253,,0,65
524,26/05/2025,evening,132,253,,0,74
525,26/05/2025,evening,136,253,,0,162
526,26/05/2025,evening,154,254,,0,102
527,26/05/2025,evening,153,254,,0,103
528,26/05/2025,evening,155,254,,0,107
529,26/05/2025,evening,152,254,,0,113
530,26/05/2025,evening,159,254,,0,117
531,26/05/2025,evening,160,254,,0,121
532,26/05/2025,evening,167,254,,0,2
533,26/05/2025,evening,178,254,,0,5
534,26/05/2025,evening,176,254,,0,17
535,26/05/2025,evening,177,254,,0,165
536,26/05/2025,evening,170,254,,0,21
537,26/05/2025,evening,172,254,,0,28
538,26/05/2025,evening,175,254,,0,31
539,26/05/2025,evening,171,254,,0,35
540,26/05/2025,evening,180,254,,0,152
541,26/05/2025,evening,168,254,,0,156
542,26/05/2025,evening,169,254,,0,157
543,26/05/2025,evening,173,254,,0,163
544,26/05/2025,evening,174,254,,0,164
545,26/05/2025,evening,179,254,,0,166
546,26/05/2025,evening,181,254,,0,167
547,26/05/2025,evening,156,254,,0,49
548,26/05/2025,evening,165,254,,0,55
549,26/05/2025,evening,163,254,,0,57
550,26/05/2025,evening,158,254,,0,59
551,26/05/2025,evening,157,254,,0,60
552,26/05/2025,evening,164,254,,0,62
553,26/05/2025,evening,161,254,,0,65
554,26/05/2025,evening,162,254,,0,74
555,26/05/2025,evening,166,254,,0,162
556,27/05/2025,evening,124,253,,0,102
557,27/05/2025,evening,123,253,,0,103
558,27/05/2025,evening,125,253,,0,107
559,27/05/2025,evening,122,253,,0,113
560,27/05/2025,evening,129,253,,0,117
561,27/05/2025,evening,130,253,,0,121
562,27/05/2025,evening,137,253,,0,2
563,27/05/2025,evening,148,253,,0,5
564,27/05/2025,evening,146,253,,0,17
565,27/05/2025,evening,147,253,,0,165
566,27/05/2025,evening,140,253,,0,21
567,27/05/2025,evening,142,253,,0,28
568,27/05/2025,evening,145,253,,0,31
569,27/05/2025,evening,141,253,,0,35
570,27/05/2025,evening,150,253,,0,152
571,27/05/2025,evening,138,253,,0,156
572,27/05/2025,evening,139,253,,0,157
573,27/05/2025,evening,143,253,,0,163
574,27/05/2025,evening,144,253,,0,164
575,27/05/2025,evening,149,253,,0,166
576,27/05/2025,evening,151,253,,0,167
577,27/05/2025,evening,126,253,,0,49
578,27/05/2025,evening,135,253,,0,55
579,27/05/2025,evening,133,253,,0,57
580,27/05/2025,evening,128,253,,0,59
581,27/05/2025,evening,127,253,,0,60
582,27/05/2025,evening,134,253,,0,62
583,27/05/2025,evening,131,253,,0,65
584,27/05/2025,evening,132,253,,0,74
585,27/05/2025,evening,136,253,,0,162
586,27/05/2025,evening,73,252,,0,101
587,27/05/2025,evening,79,252,,0,107
588,27/05/2025,evening,76,252,,0,113
589,27/05/2025,evening,75,252,,0,117
590,27/05/2025,evening,74,252,,0,121
591,27/05/2025,evening,86,252,,0,1
592,27/05/2025,evening,81,252,,0,2
593,27/05/2025,evening,87,252,,0,3
594,27/05/2025,evening,89,252,,0,5
595,27/05/2025,evening,90,252,,0,7
596,27/05/2025,evening,88,252,,0,16
597,27/05/2025,evening,97,252,,0,20
598,27/05/2025,evening,95,252,,0,21
599,27/05/2025,evening,100,252,,0,31
600,27/05/2025,evening,102,252,,0,32
601,27/05/2025,evening,94,252,,0,35
602,27/05/2025,evening,91,252,,0,45
603,27/05/2025,evening,98,252,,0,131
604,27/05/2025,evening,92,252,,0,146
605,27/05/2025,evening,93,252,,0,147
606,27/05/2025,evening,96,252,,0,148
607,27/05/2025,evening,99,252,,0,149
608,27/05/2025,evening,101,252,,0,150
609,27/05/2025,evening,103,252,,0,152
610,27/05/2025,evening,104,252,,0,153
611,27/05/2025,evening,105,252,,0,154
612,27/05/2025,evening,106,252,,0,155
613,27/05/2025,evening,107,252,,0,156
614,27/05/2025,evening,108,252,,0,157
615,27/05/2025,evening,109,252,,0,158
616,27/05/2025,evening,78,252,,0,57
617,27/05/2025,evening,80,252,,0,59
618,27/05/2025,evening,85,252,,0,75
619,27/05/2025,evening,77,252,,0,77
620,27/05/2025,evening,83,252,,0,130
621,27/05/2025,evening,84,252,,0,140
622,27/05/2025,evening,82,252,,0,144
623,27/05/2025,evening,62,250,,0,101
624,27/05/2025,evening,61,250,,0,106
625,27/05/2025,evening,69,250,,6,107
626,27/05/2025,evening,66,250,,0,113
627,27/05/2025,evening,65,250,,0,117
628,27/05/2025,evening,64,250,,0,121
629,27/05/2025,evening,72,250,,0,2
630,27/05/2025,evening,68,250,,0,57
631,27/05/2025,evening,70,250,,0,59
632,27/05/2025,evening,71,250,,0,62
633,27/05/2025,evening,67,250,,0,77
634,27/05/2025,evening,63,250,,0,143
635,27/05/2025,evening,154,254,,0,102
636,27/05/2025,evening,153,254,,0,103
637,27/05/2025,evening,155,254,,0,107
638,27/05/2025,evening,152,254,,0,113
639,27/05/2025,evening,159,254,,0,117
640,27/05/2025,evening,160,254,,0,121
641,27/05/2025,evening,167,254,,0,2
642,27/05/2025,evening,178,254,,0,5
643,27/05/2025,evening,176,254,,0,17
644,27/05/2025,evening,177,254,,0,165
645,27/05/2025,evening,170,254,,0,21
646,27/05/2025,evening,172,254,,0,28
647,27/05/2025,evening,175,254,,0,31
