id,amount,child_type,parent_type,project_id,report_timing,reporting_date
191,0,Gifts for Client,Sundries Expenses,250,evening,23/05/2025
192,0,Miscellaneous,Sundries Expenses,250,evening,23/05/2025
193,0,Staff Accommodation,Staff Expenses,252,evening,23/05/2025
194,0,Travel Expenses,Staff Expenses,252,evening,23/05/2025
195,0,Food Expenses,Staff Expenses,252,evening,23/05/2025
196,0,Site Allowance,Staff Expenses,252,evening,23/05/2025
197,0,Other Purchases,Staff Expenses,252,evening,23/05/2025
198,0,Workmen Wages (incl. OT),Labour Expenses,252,evening,23/05/2025
199,0,Workmen Food,Labour Expenses,252,evening,23/05/2025
200,0,Workmen Accommodation,Labour Expenses,252,evening,23/05/2025
201,0,Workmen Travel,Labour Expenses,252,evening,23/05/2025
202,0,Miscellaneous Labour Expenses,Labour Expenses,252,evening,23/05/2025
203,0,Rental Charges,Machinery Expenses,252,evening,23/05/2025
204,0,Repair Charges,Machinery Expenses,252,evening,23/05/2025
205,0,Diesel,Machinery Expenses,252,evening,23/05/2025
206,0,Operator Charges,Machinery Expenses,252,evening,23/05/2025
207,0,Miscellaneous Machinery Expenses,Machinery Expenses,252,evening,23/05/2025
208,0,"Materials (Paints, ...)",Material Purchases - Project Related,252,evening,23/05/2025
209,0,Consumables Purchases,Material Purchases - Project Related,252,evening,23/05/2025
210,0,Minor Tools,Material Purchases - Project Related,252,evening,23/05/2025
211,0,"Materials Loading, Unloading incl. Weighments",Material Purchases - Project Related,252,evening,23/05/2025
212,0,Miscellaneous Material Expenses,Material Purchases - Project Related,252,evening,23/05/2025
213,0,Client Welfare,Sundries Expenses,252,evening,23/05/2025
214,0,Pooja/Inaugural function at site,Sundries Expenses,252,evening,23/05/2025
215,0,Gifts for Client,Sundries Expenses,252,evening,23/05/2025
216,0,Miscellaneous,Sundries Expenses,252,evening,23/05/2025
217,0,Staff Accommodation,Staff Expenses,254,evening,23/05/2025
218,0,Travel Expenses,Staff Expenses,254,evening,23/05/2025
219,300,Food Expenses,Staff Expenses,254,evening,23/05/2025
220,0,Site Allowance,Staff Expenses,254,evening,23/05/2025
221,0,Other Purchases,Staff Expenses,254,evening,23/05/2025
222,0,Workmen Wages (incl. OT),Labour Expenses,254,evening,23/05/2025
223,0,Workmen Food,Labour Expenses,254,evening,23/05/2025
224,0,Workmen Accommodation,Labour Expenses,254,evening,23/05/2025
225,0,Workmen Travel,Labour Expenses,254,evening,23/05/2025
226,0,Miscellaneous Labour Expenses,Labour Expenses,254,evening,23/05/2025
227,0,Rental Charges,Machinery Expenses,254,evening,23/05/2025
228,0,Repair Charges,Machinery Expenses,254,evening,23/05/2025
229,1000,Diesel,Machinery Expenses,254,evening,23/05/2025
230,0,Operator Charges,Machinery Expenses,254,evening,23/05/2025
231,0,Miscellaneous Machinery Expenses,Machinery Expenses,254,evening,23/05/2025
232,0,"Materials (Paints, ...)",Material Purchases - Project Related,254,evening,23/05/2025
233,0,Consumables Purchases,Material Purchases - Project Related,254,evening,23/05/2025
234,0,Minor Tools,Material Purchases - Project Related,254,evening,23/05/2025
235,0,"Materials Loading, Unloading incl. Weighments",Material Purchases - Project Related,254,evening,23/05/2025
236,0,Miscellaneous Material Expenses,Material Purchases - Project Related,254,evening,23/05/2025
237,0,Client Welfare,Sundries Expenses,254,evening,23/05/2025
238,0,Pooja/Inaugural function at site,Sundries Expenses,254,evening,23/05/2025
239,0,Gifts for Client,Sundries Expenses,254,evening,23/05/2025
240,0,Miscellaneous,Sundries Expenses,254,evening,23/05/2025
241,0,Staff Accommodation,Staff Expenses,253,evening,24/05/2025
242,0,Travel Expenses,Staff Expenses,253,evening,24/05/2025
243,0,Food Expenses,Staff Expenses,253,evening,24/05/2025
244,0,Site Allowance,Staff Expenses,253,evening,24/05/2025
245,0,Other Purchases,Staff Expenses,253,evening,24/05/2025
246,0,Workmen Wages (incl. OT),Labour Expenses,253,evening,24/05/2025
247,0,Workmen Food,Labour Expenses,253,evening,24/05/2025
248,0,Workmen Accommodation,Labour Expenses,253,evening,24/05/2025
249,0,Workmen Travel,Labour Expenses,253,evening,24/05/2025
250,0,Miscellaneous Labour Expenses,Labour Expenses,253,evening,24/05/2025
251,0,Rental Charges,Machinery Expenses,253,evening,24/05/2025
252,0,Repair Charges,Machinery Expenses,253,evening,24/05/2025
253,0,Diesel,Machinery Expenses,253,evening,24/05/2025
254,0,Operator Charges,Machinery Expenses,253,evening,24/05/2025
255,0,Miscellaneous Machinery Expenses,Machinery Expenses,253,evening,24/05/2025
256,0,"Materials (Paints, ...)",Material Purchases - Project Related,253,evening,24/05/2025
257,0,Consumables Purchases,Material Purchases - Project Related,253,evening,24/05/2025
258,0,Minor Tools,Material Purchases - Project Related,253,evening,24/05/2025
259,0,"Materials Loading, Unloading incl. Weighments",Material Purchases - Project Related,253,evening,24/05/2025
260,0,Miscellaneous Material Expenses,Material Purchases - Project Related,253,evening,24/05/2025
261,0,Client Welfare,Sundries Expenses,253,evening,24/05/2025
262,0,Pooja/Inaugural function at site,Sundries Expenses,253,evening,24/05/2025
263,0,Gifts for Client,Sundries Expenses,253,evening,24/05/2025
264,0,Miscellaneous,Sundries Expenses,253,evening,24/05/2025
265,0,Staff Accommodation,Staff Expenses,253,evening,24/05/2025
266,0,Travel Expenses,Staff Expenses,253,evening,24/05/2025
267,0,Food Expenses,Staff Expenses,253,evening,24/05/2025
268,0,Site Allowance,Staff Expenses,253,evening,24/05/2025
269,0,Other Purchases,Staff Expenses,253,evening,24/05/2025
270,0,Workmen Wages (incl. OT),Labour Expenses,253,evening,24/05/2025
271,0,Workmen Food,Labour Expenses,253,evening,24/05/2025
272,0,Workmen Accommodation,Labour Expenses,253,evening,24/05/2025
273,0,Workmen Travel,Labour Expenses,253,evening,24/05/2025
274,0,Miscellaneous Labour Expenses,Labour Expenses,253,evening,24/05/2025
275,0,Rental Charges,Machinery Expenses,253,evening,24/05/2025
276,0,Repair Charges,Machinery Expenses,253,evening,24/05/2025
277,0,Diesel,Machinery Expenses,253,evening,24/05/2025
278,0,Operator Charges,Machinery Expenses,253,evening,24/05/2025
279,0,Miscellaneous Machinery Expenses,Machinery Expenses,253,evening,24/05/2025
280,0,"Materials (Paints, ...)",Material Purchases - Project Related,253,evening,24/05/2025
281,0,Consumables Purchases,Material Purchases - Project Related,253,evening,24/05/2025
282,0,Minor Tools,Material Purchases - Project Related,253,evening,24/05/2025
283,0,"Materials Loading, Unloading incl. Weighments",Material Purchases - Project Related,253,evening,24/05/2025
284,0,Miscellaneous Material Expenses,Material Purchases - Project Related,253,evening,24/05/2025
285,0,Client Welfare,Sundries Expenses,253,evening,24/05/2025
286,0,Pooja/Inaugural function at site,Sundries Expenses,253,evening,24/05/2025
287,0,Gifts for Client,Sundries Expenses,253,evening,24/05/2025
288,0,Miscellaneous,Sundries Expenses,253,evening,24/05/2025
289,0,Staff Accommodation,Staff Expenses,252,evening,24/05/2025
290,0,Travel Expenses,Staff Expenses,252,evening,24/05/2025
291,0,Food Expenses,Staff Expenses,252,evening,24/05/2025
292,0,Site Allowance,Staff Expenses,252,evening,24/05/2025
293,0,Other Purchases,Staff Expenses,252,evening,24/05/2025
294,0,Workmen Wages (incl. OT),Labour Expenses,252,evening,24/05/2025
295,0,Workmen Food,Labour Expenses,252,evening,24/05/2025
296,0,Workmen Accommodation,Labour Expenses,252,evening,24/05/2025
297,0,Workmen Travel,Labour Expenses,252,evening,24/05/2025
298,0,Miscellaneous Labour Expenses,Labour Expenses,252,evening,24/05/2025
299,0,Rental Charges,Machinery Expenses,252,evening,24/05/2025
300,0,Repair Charges,Machinery Expenses,252,evening,24/05/2025
301,0,Diesel,Machinery Expenses,252,evening,24/05/2025
302,0,Operator Charges,Machinery Expenses,252,evening,24/05/2025
303,0,Miscellaneous Machinery Expenses,Machinery Expenses,252,evening,24/05/2025
304,0,"Materials (Paints, ...)",Material Purchases - Project Related,252,evening,24/05/2025
305,0,Consumables Purchases,Material Purchases - Project Related,252,evening,24/05/2025
306,0,Minor Tools,Material Purchases - Project Related,252,evening,24/05/2025
307,0,"Materials Loading, Unloading incl. Weighments",Material Purchases - Project Related,252,evening,24/05/2025
308,0,Miscellaneous Material Expenses,Material Purchases - Project Related,252,evening,24/05/2025
309,0,Client Welfare,Sundries Expenses,252,evening,24/05/2025
310,0,Pooja/Inaugural function at site,Sundries Expenses,252,evening,24/05/2025
311,0,Gifts for Client,Sundries Expenses,252,evening,24/05/2025
312,0,Miscellaneous,Sundries Expenses,252,evening,24/05/2025
313,0,Staff Accommodation,Staff Expenses,250,evening,24/05/2025
314,0,Travel Expenses,Staff Expenses,250,evening,24/05/2025
315,0,Food Expenses,Staff Expenses,250,evening,24/05/2025
316,0,Site Allowance,Staff Expenses,250,evening,24/05/2025
317,0,Other Purchases,Staff Expenses,250,evening,24/05/2025
318,0,Workmen Wages (incl. OT),Labour Expenses,250,evening,24/05/2025
319,0,Workmen Food,Labour Expenses,250,evening,24/05/2025
320,0,Workmen Accommodation,Labour Expenses,250,evening,24/05/2025
321,0,Workmen Travel,Labour Expenses,250,evening,24/05/2025
322,0,Miscellaneous Labour Expenses,Labour Expenses,250,evening,24/05/2025
323,0,Rental Charges,Machinery Expenses,250,evening,24/05/2025
324,0,Repair Charges,Machinery Expenses,250,evening,24/05/2025
325,0,Diesel,Machinery Expenses,250,evening,24/05/2025
326,0,Operator Charges,Machinery Expenses,250,evening,24/05/2025
327,0,Miscellaneous Machinery Expenses,Machinery Expenses,250,evening,24/05/2025
328,0,"Materials (Paints, ...)",Material Purchases - Project Related,250,evening,24/05/2025
329,0,Consumables Purchases,Material Purchases - Project Related,250,evening,24/05/2025
330,0,Minor Tools,Material Purchases - Project Related,250,evening,24/05/2025
331,0,"Materials Loading, Unloading incl. Weighments",Material Purchases - Project Related,250,evening,24/05/2025
332,0,Miscellaneous Material Expenses,Material Purchases - Project Related,250,evening,24/05/2025
333,0,Client Welfare,Sundries Expenses,250,evening,24/05/2025
334,0,Pooja/Inaugural function at site,Sundries Expenses,250,evening,24/05/2025
335,0,Gifts for Client,Sundries Expenses,250,evening,24/05/2025
336,0,Miscellaneous,Sundries Expenses,250,evening,24/05/2025
337,0,Staff Accommodation,Staff Expenses,254,evening,24/05/2025
338,0,Travel Expenses,Staff Expenses,254,evening,24/05/2025
339,300,Food Expenses,Staff Expenses,254,evening,24/05/2025
340,0,Site Allowance,Staff Expenses,254,evening,24/05/2025
341,0,Other Purchases,Staff Expenses,254,evening,24/05/2025
342,0,Workmen Wages (incl. OT),Labour Expenses,254,evening,24/05/2025
343,0,Workmen Food,Labour Expenses,254,evening,24/05/2025
344,0,Workmen Accommodation,Labour Expenses,254,evening,24/05/2025
345,0,Workmen Travel,Labour Expenses,254,evening,24/05/2025
346,0,Miscellaneous Labour Expenses,Labour Expenses,254,evening,24/05/2025
347,0,Rental Charges,Machinery Expenses,254,evening,24/05/2025
348,0,Repair Charges,Machinery Expenses,254,evening,24/05/2025
349,1000,Diesel,Machinery Expenses,254,evening,24/05/2025
350,0,Operator Charges,Machinery Expenses,254,evening,24/05/2025
351,0,Miscellaneous Machinery Expenses,Machinery Expenses,254,evening,24/05/2025
352,250,"Materials (Paints, ...)",Material Purchases - Project Related,254,evening,24/05/2025
353,240,Consumables Purchases,Material Purchases - Project Related,254,evening,24/05/2025
354,0,Minor Tools,Material Purchases - Project Related,254,evening,24/05/2025
355,770,"Materials Loading, Unloading incl. Weighments",Material Purchases - Project Related,254,evening,24/05/2025
356,0,Miscellaneous Material Expenses,Material Purchases - Project Related,254,evening,24/05/2025
357,0,Client Welfare,Sundries Expenses,254,evening,24/05/2025
358,0,Pooja/Inaugural function at site,Sundries Expenses,254,evening,24/05/2025
359,0,Gifts for Client,Sundries Expenses,254,evening,24/05/2025
360,50,Miscellaneous,Sundries Expenses,254,evening,24/05/2025
361,0,Staff Accommodation,Staff Expenses,253,evening,25/05/2025
362,0,Travel Expenses,Staff Expenses,253,evening,25/05/2025
363,0,Food Expenses,Staff Expenses,253,evening,25/05/2025
364,0,Site Allowance,Staff Expenses,253,evening,25/05/2025
365,0,Other Purchases,Staff Expenses,253,evening,25/05/2025
366,0,Workmen Wages (incl. OT),Labour Expenses,253,evening,25/05/2025
367,0,Workmen Food,Labour Expenses,253,evening,25/05/2025
368,0,Workmen Accommodation,Labour Expenses,253,evening,25/05/2025
369,0,Workmen Travel,Labour Expenses,253,evening,25/05/2025
370,0,Miscellaneous Labour Expenses,Labour Expenses,253,evening,25/05/2025
371,0,Rental Charges,Machinery Expenses,253,evening,25/05/2025
372,0,Repair Charges,Machinery Expenses,253,evening,25/05/2025
373,0,Diesel,Machinery Expenses,253,evening,25/05/2025
374,0,Operator Charges,Machinery Expenses,253,evening,25/05/2025
375,0,Miscellaneous Machinery Expenses,Machinery Expenses,253,evening,25/05/2025
376,0,"Materials (Paints, ...)",Material Purchases - Project Related,253,evening,25/05/2025
377,0,Consumables Purchases,Material Purchases - Project Related,253,evening,25/05/2025
378,0,Minor Tools,Material Purchases - Project Related,253,evening,25/05/2025
379,0,"Materials Loading, Unloading incl. Weighments",Material Purchases - Project Related,253,evening,25/05/2025
380,0,Miscellaneous Material Expenses,Material Purchases - Project Related,253,evening,25/05/2025
381,0,Client Welfare,Sundries Expenses,253,evening,25/05/2025
382,0,Pooja/Inaugural function at site,Sundries Expenses,253,evening,25/05/2025
383,0,Gifts for Client,Sundries Expenses,253,evening,25/05/2025
384,0,Miscellaneous,Sundries Expenses,253,evening,25/05/2025
385,0,Staff Accommodation,Staff Expenses,254,evening,25/05/2025
386,0,Travel Expenses,Staff Expenses,254,evening,25/05/2025
387,300,Food Expenses,Staff Expenses,254,evening,25/05/2025
388,0,Site Allowance,Staff Expenses,254,evening,25/05/2025
389,0,Other Purchases,Staff Expenses,254,evening,25/05/2025
390,0,Workmen Wages (incl. OT),Labour Expenses,254,evening,25/05/2025
391,0,Workmen Food,Labour Expenses,254,evening,25/05/2025
392,0,Workmen Accommodation,Labour Expenses,254,evening,25/05/2025
393,0,Workmen Travel,Labour Expenses,254,evening,25/05/2025
394,0,Miscellaneous Labour Expenses,Labour Expenses,254,evening,25/05/2025
395,0,Rental Charges,Machinery Expenses,254,evening,25/05/2025
396,0,Repair Charges,Machinery Expenses,254,evening,25/05/2025
397,0,Diesel,Machinery Expenses,254,evening,25/05/2025
398,0,Operator Charges,Machinery Expenses,254,evening,25/05/2025
399,0,Miscellaneous Machinery Expenses,Machinery Expenses,254,evening,25/05/2025
