id,child_type,created_at,end_time,number_of_machines,parent_type,project_id,remark,report_date,start_time,submit_timing,updated_at
44,Crane 16 Ton,2025-05-23 07:00:11.826927,6:00 PM,,Crane,254,F15%20farrana%20-%20Nikitha%20scope-%20Monthly%20rental%20-%20From%2019th%20May(Erection%20team%20using%20our%20crane%202nd%20day-pls%20deduduct%20from%20there%20bill),23/05/2025,9:00 AM,afternoon,2025-05-23 07:00:11.82693
45,Crane 12 Ton,2025-05-23 09:36:17.107232,12:00 AM,,Crane,253,,23/05/2025,12:00 AM,afternoon,2025-05-23 09:36:17.107236
46,Crane 16 Ton,2025-05-23 09:36:17.171801,12:00 AM,,Crane,253,,23/05/2025,12:00 AM,afternoon,2025-05-23 09:36:17.171805
47,Crane 20 Ton,2025-05-23 09:36:17.244872,12:00 AM,,Crane,253,,23/05/2025,12:00 AM,afternoon,2025-05-23 09:36:17.244876
48,Crane 30 Ton,2025-05-23 09:36:17.309084,12:00 AM,,Crane,253,,23/05/2025,12:00 AM,afternoon,2025-05-23 09:36:17.309087
49,Crane 50 Ton,2025-05-23 09:36:17.37283,12:00 AM,,Crane,253,,23/05/2025,12:00 AM,afternoon,2025-05-23 09:36:17.372834
50,Crane 80 Ton,2025-05-23 09:36:17.436674,12:00 AM,,Crane,253,,23/05/2025,12:00 AM,afternoon,2025-05-23 09:36:17.436676
51,Boom Lift 120 Feet,2025-05-23 09:36:17.500775,12:00 AM,,Boom,253,,23/05/2025,12:00 AM,afternoon,2025-05-23 09:36:17.500778
52,Boom Lift 80 Feet,2025-05-23 09:36:17.564564,12:00 AM,,Boom,253,,23/05/2025,12:00 AM,afternoon,2025-05-23 09:36:17.564567
53,Boom Lift 60 Feet,2025-05-23 09:36:17.62837,12:00 AM,,Boom,253,,23/05/2025,12:00 AM,afternoon,2025-05-23 09:36:17.628372
54,Boom Lift 45 Feet,2025-05-23 09:36:17.692138,12:00 AM,,Boom,253,,23/05/2025,12:00 AM,afternoon,2025-05-23 09:36:17.692141
55,Scissor Lift 18 mtr,2025-05-23 09:36:17.757092,12:00 AM,,Scissor,253,,23/05/2025,12:00 AM,afternoon,2025-05-23 09:36:17.757095
56,Crane 12 Ton,2025-05-23 10:33:04.445613,6:00 PM,,Crane,250,,23/05/2025,9:00 AM,afternoon,2025-05-23 10:33:04.445616
57,Crane 12 Ton,2025-05-23 10:34:01.494362,12:00 AM,,Crane,252,,23/05/2025,12:00 AM,afternoon,2025-05-23 10:34:01.494365
58,Crane 16 Ton,2025-05-23 10:34:01.554306,12:00 AM,,Crane,252,,23/05/2025,12:00 AM,afternoon,2025-05-23 10:34:01.554309
59,Crane 20 Ton,2025-05-23 10:34:01.614445,12:00 AM,,Crane,252,,23/05/2025,12:00 AM,afternoon,2025-05-23 10:34:01.614448
60,Crane 30 Ton,2025-05-23 10:34:01.674985,12:00 AM,,Crane,252,,23/05/2025,12:00 AM,afternoon,2025-05-23 10:34:01.674989
61,Crane 50 Ton,2025-05-23 10:34:01.73766,12:00 AM,,Crane,252,,23/05/2025,12:00 AM,afternoon,2025-05-23 10:34:01.737664
62,Crane 80 Ton,2025-05-23 10:34:01.797679,12:00 AM,,Crane,252,,23/05/2025,12:00 AM,afternoon,2025-05-23 10:34:01.797683
63,Boom Lift 120 Feet,2025-05-23 10:34:01.857873,12:00 AM,,Boom,252,,23/05/2025,12:00 AM,afternoon,2025-05-23 10:34:01.857877
64,Boom Lift 80 Feet,2025-05-23 10:34:01.917995,12:00 AM,,Boom,252,,23/05/2025,12:00 AM,afternoon,2025-05-23 10:34:01.917998
65,Boom Lift 60 Feet,2025-05-23 10:34:01.978115,12:00 AM,,Boom,252,,23/05/2025,12:00 AM,afternoon,2025-05-23 10:34:01.978119
66,Boom Lift 45 Feet,2025-05-23 10:34:02.038023,12:00 AM,,Boom,252,,23/05/2025,12:00 AM,afternoon,2025-05-23 10:34:02.038026
67,Scissor Lift 18 mtr,2025-05-23 10:34:02.097805,12:00 AM,,Scissor,252,,23/05/2025,12:00 AM,afternoon,2025-05-23 10:34:02.097808
68,Crane 12 Ton,2025-05-23 12:25:13.313492,12:00 AM,,Crane,253,,23/05/2025,12:00 AM,evening,2025-05-23 12:25:13.313494
69,Crane 16 Ton,2025-05-23 12:25:13.37694,12:00 AM,,Crane,253,,23/05/2025,12:00 AM,evening,2025-05-23 12:25:13.376943
70,Crane 20 Ton,2025-05-23 12:25:13.440718,12:00 AM,,Crane,253,,23/05/2025,12:00 AM,evening,2025-05-23 12:25:13.440721
71,Crane 30 Ton,2025-05-23 12:25:13.504254,12:00 AM,,Crane,253,,23/05/2025,12:00 AM,evening,2025-05-23 12:25:13.504257
72,Crane 50 Ton,2025-05-23 12:25:13.567971,12:00 AM,,Crane,253,,23/05/2025,12:00 AM,evening,2025-05-23 12:25:13.567973
73,Crane 80 Ton,2025-05-23 12:25:13.63154,12:00 AM,,Crane,253,,23/05/2025,12:00 AM,evening,2025-05-23 12:25:13.631542
74,Boom Lift 120 Feet,2025-05-23 12:25:13.694921,12:00 AM,,Boom,253,,23/05/2025,12:00 AM,evening,2025-05-23 12:25:13.694923
75,Boom Lift 80 Feet,2025-05-23 12:25:13.758966,12:00 AM,,Boom,253,,23/05/2025,12:00 AM,evening,2025-05-23 12:25:13.758969
76,Boom Lift 60 Feet,2025-05-23 12:25:13.822478,12:00 AM,,Boom,253,,23/05/2025,12:00 AM,evening,2025-05-23 12:25:13.822481
77,Boom Lift 45 Feet,2025-05-23 12:25:13.88629,12:00 AM,,Boom,253,,23/05/2025,12:00 AM,evening,2025-05-23 12:25:13.886293
78,Scissor Lift 18 mtr,2025-05-23 12:25:13.94978,12:00 AM,,Scissor,253,,23/05/2025,12:00 AM,evening,2025-05-23 12:25:13.949783
79,Crane 12 Ton,2025-05-23 12:42:14.234157,6:00 PM,,Crane,250,,23/05/2025,9:00 AM,evening,2025-05-23 12:42:14.23416
80,Crane 12 Ton,2025-05-23 12:46:01.290965,12:00 AM,,Crane,252,,23/05/2025,12:00 AM,evening,2025-05-23 12:46:01.290968
81,Crane 16 Ton,2025-05-23 12:46:01.353884,12:00 AM,,Crane,252,,23/05/2025,12:00 AM,evening,2025-05-23 12:46:01.353886
82,Crane 20 Ton,2025-05-23 12:46:01.416771,12:00 AM,,Crane,252,,23/05/2025,12:00 AM,evening,2025-05-23 12:46:01.416775
83,Crane 30 Ton,2025-05-23 12:46:01.48023,12:00 AM,,Crane,252,,23/05/2025,12:00 AM,evening,2025-05-23 12:46:01.480233
84,Crane 50 Ton,2025-05-23 12:46:01.543311,12:00 AM,,Crane,252,,23/05/2025,12:00 AM,evening,2025-05-23 12:46:01.543314
85,Crane 80 Ton,2025-05-23 12:46:01.606146,12:00 AM,,Crane,252,,23/05/2025,12:00 AM,evening,2025-05-23 12:46:01.606149
86,Boom Lift 120 Feet,2025-05-23 12:46:01.668982,12:00 AM,,Boom,252,,23/05/2025,12:00 AM,evening,2025-05-23 12:46:01.668985
87,Boom Lift 80 Feet,2025-05-23 12:46:01.731958,12:00 AM,,Boom,252,,23/05/2025,12:00 AM,evening,2025-05-23 12:46:01.731962
88,Boom Lift 60 Feet,2025-05-23 12:46:01.794881,12:00 AM,,Boom,252,,23/05/2025,12:00 AM,evening,2025-05-23 12:46:01.794884
89,Boom Lift 45 Feet,2025-05-23 12:46:01.857799,12:00 AM,,Boom,252,,23/05/2025,12:00 AM,evening,2025-05-23 12:46:01.857802
90,Scissor Lift 18 mtr,2025-05-23 12:46:01.920695,12:00 AM,,Scissor,252,,23/05/2025,12:00 AM,evening,2025-05-23 12:46:01.920698
91,Crane 16 Ton,2025-05-23 12:46:56.115555,6:00 PM,,Crane,254,,23/05/2025,9:00 AM,evening,2025-05-23 12:46:56.115558
92,Crane 12 Ton,2025-05-24 08:19:15.745994,6:00 PM,,Crane,252,,24/05/2025,9:00 AM,afternoon,2025-05-24 08:19:15.745996
93,Crane 12 Ton,2025-05-24 08:20:02.410518,12:00 AM,,Crane,250,,24/05/2025,12:00 AM,afternoon,2025-05-24 08:20:02.410521
94,Crane 16 Ton,2025-05-24 08:20:02.475688,12:00 AM,,Crane,250,,24/05/2025,12:00 AM,afternoon,2025-05-24 08:20:02.475691
95,Crane 20 Ton,2025-05-24 08:20:02.541629,12:00 AM,,Crane,250,,24/05/2025,12:00 AM,afternoon,2025-05-24 08:20:02.541632
96,Crane 30 Ton,2025-05-24 08:20:02.622424,12:00 AM,,Crane,250,,24/05/2025,12:00 AM,afternoon,2025-05-24 08:20:02.622427
97,Crane 50 Ton,2025-05-24 08:20:02.687543,12:00 AM,,Crane,250,,24/05/2025,12:00 AM,afternoon,2025-05-24 08:20:02.687546
98,Crane 80 Ton,2025-05-24 08:20:02.752624,12:00 AM,,Crane,250,,24/05/2025,12:00 AM,afternoon,2025-05-24 08:20:02.752627
99,Boom Lift 120 Feet,2025-05-24 08:20:02.817747,12:00 AM,,Boom,250,,24/05/2025,12:00 AM,afternoon,2025-05-24 08:20:02.817749
100,Boom Lift 80 Feet,2025-05-24 08:20:02.882881,12:00 AM,,Boom,250,,24/05/2025,12:00 AM,afternoon,2025-05-24 08:20:02.882884
101,Boom Lift 60 Feet,2025-05-24 08:20:02.948315,12:00 AM,,Boom,250,,24/05/2025,12:00 AM,afternoon,2025-05-24 08:20:02.948319
102,Boom Lift 45 Feet,2025-05-24 08:20:03.01341,12:00 AM,,Boom,250,,24/05/2025,12:00 AM,afternoon,2025-05-24 08:20:03.013412
103,Scissor Lift 18 mtr,2025-05-24 08:20:03.078759,12:00 AM,,Scissor,250,,24/05/2025,12:00 AM,afternoon,2025-05-24 08:20:03.078761
104,Crane 12 Ton,2025-05-24 11:51:24.905771,12:00 AM,,Crane,253,Today%20No%20work%20,24/05/2025,12:00 AM,afternoon,2025-05-24 11:51:24.905774
105,Crane 16 Ton,2025-05-24 11:51:24.955923,12:00 AM,,Crane,253,Today%20No%20work%20,24/05/2025,12:00 AM,afternoon,2025-05-24 11:51:24.955925
106,Crane 20 Ton,2025-05-24 11:51:25.006206,12:00 AM,,Crane,253,Today%20No%20work%20,24/05/2025,12:00 AM,afternoon,2025-05-24 11:51:25.006209
107,Crane 30 Ton,2025-05-24 11:51:25.056223,12:00 AM,,Crane,253,Today%20No%20work%20,24/05/2025,12:00 AM,afternoon,2025-05-24 11:51:25.056226
108,Crane 50 Ton,2025-05-24 11:51:25.106697,12:00 AM,,Crane,253,Today%20No%20work%20,24/05/2025,12:00 AM,afternoon,2025-05-24 11:51:25.1067
109,Crane 80 Ton,2025-05-24 11:51:25.157524,12:00 AM,,Crane,253,Today%20No%20work%20,24/05/2025,12:00 AM,afternoon,2025-05-24 11:51:25.157527
110,Boom Lift 120 Feet,2025-05-24 11:51:25.207577,12:00 AM,,Boom,253,Today%20No%20work%20,24/05/2025,12:00 AM,afternoon,2025-05-24 11:51:25.20758
111,Boom Lift 80 Feet,2025-05-24 11:51:25.257644,12:00 AM,,Boom,253,Today%20No%20work%20,24/05/2025,12:00 AM,afternoon,2025-05-24 11:51:25.257647
112,Boom Lift 60 Feet,2025-05-24 11:51:25.307684,12:00 AM,,Boom,253,Today%20No%20work%20,24/05/2025,12:00 AM,afternoon,2025-05-24 11:51:25.307687
113,Boom Lift 45 Feet,2025-05-24 11:51:25.358467,12:00 AM,,Boom,253,Today%20No%20work%20,24/05/2025,12:00 AM,afternoon,2025-05-24 11:51:25.358469
114,Scissor Lift 18 mtr,2025-05-24 11:51:25.408645,12:00 AM,,Scissor,253,Today%20No%20work%20,24/05/2025,12:00 AM,afternoon,2025-05-24 11:51:25.408648
115,Crane 12 Ton,2025-05-24 11:54:33.527261,12:00 AM,,Crane,253,,24/05/2025,12:00 AM,evening,2025-05-24 11:54:33.527264
116,Crane 16 Ton,2025-05-24 11:54:33.57773,12:00 AM,,Crane,253,,24/05/2025,12:00 AM,evening,2025-05-24 11:54:33.577732
117,Crane 20 Ton,2025-05-24 11:54:33.628056,12:00 AM,,Crane,253,,24/05/2025,12:00 AM,evening,2025-05-24 11:54:33.628059
118,Crane 30 Ton,2025-05-24 11:54:33.679237,12:00 AM,,Crane,253,,24/05/2025,12:00 AM,evening,2025-05-24 11:54:33.67924
119,Crane 50 Ton,2025-05-24 11:54:33.729601,12:00 AM,,Crane,253,,24/05/2025,12:00 AM,evening,2025-05-24 11:54:33.729603
120,Crane 80 Ton,2025-05-24 11:54:33.779758,12:00 AM,,Crane,253,,24/05/2025,12:00 AM,evening,2025-05-24 11:54:33.77976
121,Boom Lift 120 Feet,2025-05-24 11:54:33.829948,12:00 AM,,Boom,253,,24/05/2025,12:00 AM,evening,2025-05-24 11:54:33.829951
122,Boom Lift 80 Feet,2025-05-24 11:54:33.880571,12:00 AM,,Boom,253,,24/05/2025,12:00 AM,evening,2025-05-24 11:54:33.880574
123,Boom Lift 60 Feet,2025-05-24 11:54:33.931365,12:00 AM,,Boom,253,,24/05/2025,12:00 AM,evening,2025-05-24 11:54:33.931368
124,Boom Lift 45 Feet,2025-05-24 11:54:33.981752,12:00 AM,,Boom,253,,24/05/2025,12:00 AM,evening,2025-05-24 11:54:33.981755
125,Scissor Lift 18 mtr,2025-05-24 11:54:34.032108,12:00 AM,,Scissor,253,,24/05/2025,12:00 AM,evening,2025-05-24 11:54:34.032111
126,Crane 12 Ton,2025-05-24 11:54:36.271954,12:00 AM,,Crane,253,,24/05/2025,12:00 AM,evening,2025-05-24 11:54:36.271957
127,Crane 16 Ton,2025-05-24 11:54:36.326424,12:00 AM,,Crane,253,,24/05/2025,12:00 AM,evening,2025-05-24 11:54:36.326427
128,Crane 20 Ton,2025-05-24 11:54:36.381205,12:00 AM,,Crane,253,,24/05/2025,12:00 AM,evening,2025-05-24 11:54:36.381208
129,Crane 30 Ton,2025-05-24 11:54:36.435735,12:00 AM,,Crane,253,,24/05/2025,12:00 AM,evening,2025-05-24 11:54:36.435737
130,Crane 50 Ton,2025-05-24 11:54:36.489879,12:00 AM,,Crane,253,,24/05/2025,12:00 AM,evening,2025-05-24 11:54:36.489882
131,Crane 80 Ton,2025-05-24 11:54:36.544544,12:00 AM,,Crane,253,,24/05/2025,12:00 AM,evening,2025-05-24 11:54:36.544547
132,Boom Lift 120 Feet,2025-05-24 11:54:36.598905,12:00 AM,,Boom,253,,24/05/2025,12:00 AM,evening,2025-05-24 11:54:36.598908
133,Boom Lift 80 Feet,2025-05-24 11:54:36.653115,12:00 AM,,Boom,253,,24/05/2025,12:00 AM,evening,2025-05-24 11:54:36.653118
134,Boom Lift 60 Feet,2025-05-24 11:54:36.707855,12:00 AM,,Boom,253,,24/05/2025,12:00 AM,evening,2025-05-24 11:54:36.707857
135,Boom Lift 45 Feet,2025-05-24 11:54:36.766119,12:00 AM,,Boom,253,,24/05/2025,12:00 AM,evening,2025-05-24 11:54:36.766122
136,Scissor Lift 18 mtr,2025-05-24 11:54:36.82123,12:00 AM,,Scissor,253,,24/05/2025,12:00 AM,evening,2025-05-24 11:54:36.821232
137,Crane 16 Ton,2025-05-24 11:57:22.281134,6:00 PM,,Crane,254,Crane%20monthly%20rental(Our%20Scope)from%2019th%20May%20,24/05/2025,9:00 AM,afternoon,2025-05-24 11:57:22.281136
138,Boom Lift 120 Feet,2025-05-24 12:17:53.256036,6:00 PM,,Boom,252,,24/05/2025,9:00 AM,evening,2025-05-24 12:17:53.256039
139,Crane 12 Ton,2025-05-24 12:27:16.578474,12:00 AM,,Crane,250,,24/05/2025,12:00 AM,evening,2025-05-24 12:27:16.578477
140,Crane 16 Ton,2025-05-24 12:27:16.634013,12:00 AM,,Crane,250,,24/05/2025,12:00 AM,evening,2025-05-24 12:27:16.634015
141,Crane 20 Ton,2025-05-24 12:27:16.689443,12:00 AM,,Crane,250,,24/05/2025,12:00 AM,evening,2025-05-24 12:27:16.689446
142,Crane 30 Ton,2025-05-24 12:27:16.744953,12:00 AM,,Crane,250,,24/05/2025,12:00 AM,evening,2025-05-24 12:27:16.744956
143,Crane 50 Ton,2025-05-24 12:27:16.800442,12:00 AM,,Crane,250,,24/05/2025,12:00 AM,evening,2025-05-24 12:27:16.800445
144,Crane 80 Ton,2025-05-24 12:27:16.855969,12:00 AM,,Crane,250,,24/05/2025,12:00 AM,evening,2025-05-24 12:27:16.855972
145,Boom Lift 120 Feet,2025-05-24 12:27:16.911486,12:00 AM,,Boom,250,,24/05/2025,12:00 AM,evening,2025-05-24 12:27:16.911488
146,Boom Lift 80 Feet,2025-05-24 12:27:16.96698,12:00 AM,,Boom,250,,24/05/2025,12:00 AM,evening,2025-05-24 12:27:16.966982
147,Boom Lift 60 Feet,2025-05-24 12:27:17.022906,12:00 AM,,Boom,250,,24/05/2025,12:00 AM,evening,2025-05-24 12:27:17.022909
148,Boom Lift 45 Feet,2025-05-24 12:27:17.078383,12:00 AM,,Boom,250,,24/05/2025,12:00 AM,evening,2025-05-24 12:27:17.078385
149,Scissor Lift 18 mtr,2025-05-24 12:27:17.13386,12:00 AM,,Scissor,250,,24/05/2025,12:00 AM,evening,2025-05-24 12:27:17.133862
150,Crane 16 Ton,2025-05-24 13:04:34.17165,6:00 PM,,Crane,254,,24/05/2025,9:00 AM,evening,2025-05-24 13:04:34.171652
151,Crane 12 Ton,2025-05-25 11:58:45.106802,12:00 AM,,Crane,253,,25/05/2025,12:00 AM,afternoon,2025-05-25 11:58:45.106805
152,Crane 16 Ton,2025-05-25 11:58:45.170075,12:00 AM,,Crane,253,,25/05/2025,12:00 AM,afternoon,2025-05-25 11:58:45.170077
153,Crane 20 Ton,2025-05-25 11:58:45.233177,12:00 AM,,Crane,253,,25/05/2025,12:00 AM,afternoon,2025-05-25 11:58:45.23318
154,Crane 30 Ton,2025-05-25 11:58:45.29622,12:00 AM,,Crane,253,,25/05/2025,12:00 AM,afternoon,2025-05-25 11:58:45.296223
155,Crane 50 Ton,2025-05-25 11:58:45.359168,12:00 AM,,Crane,253,,25/05/2025,12:00 AM,afternoon,2025-05-25 11:58:45.359171
156,Crane 80 Ton,2025-05-25 11:58:45.422043,12:00 AM,,Crane,253,,25/05/2025,12:00 AM,afternoon,2025-05-25 11:58:45.422045
157,Boom Lift 120 Feet,2025-05-25 11:58:45.485201,12:00 AM,,Boom,253,,25/05/2025,12:00 AM,afternoon,2025-05-25 11:58:45.485203
158,Boom Lift 80 Feet,2025-05-25 11:58:45.548175,12:00 AM,,Boom,253,,25/05/2025,12:00 AM,afternoon,2025-05-25 11:58:45.548178
159,Boom Lift 60 Feet,2025-05-25 11:58:45.611142,12:00 AM,,Boom,253,,25/05/2025,12:00 AM,afternoon,2025-05-25 11:58:45.611145
160,Boom Lift 45 Feet,2025-05-25 11:58:45.67426,12:00 AM,,Boom,253,,25/05/2025,12:00 AM,afternoon,2025-05-25 11:58:45.674264
161,Scissor Lift 18 mtr,2025-05-25 11:58:45.737162,12:00 AM,,Scissor,253,,25/05/2025,12:00 AM,afternoon,2025-05-25 11:58:45.737165
162,Crane 12 Ton,2025-05-25 12:01:58.242137,12:00 AM,,Crane,253,,25/05/2025,12:00 AM,evening,2025-05-25 12:01:58.24214
163,Crane 16 Ton,2025-05-25 12:01:58.30503,12:00 AM,,Crane,253,,25/05/2025,12:00 AM,evening,2025-05-25 12:01:58.305032
164,Crane 20 Ton,2025-05-25 12:01:58.367925,12:00 AM,,Crane,253,,25/05/2025,12:00 AM,evening,2025-05-25 12:01:58.367928
165,Crane 30 Ton,2025-05-25 12:01:58.43098,12:00 AM,,Crane,253,,25/05/2025,12:00 AM,evening,2025-05-25 12:01:58.430982
166,Crane 50 Ton,2025-05-25 12:01:58.493875,12:00 AM,,Crane,253,,25/05/2025,12:00 AM,evening,2025-05-25 12:01:58.493878
167,Crane 80 Ton,2025-05-25 12:01:58.5568,12:00 AM,,Crane,253,,25/05/2025,12:00 AM,evening,2025-05-25 12:01:58.556803
168,Boom Lift 120 Feet,2025-05-25 12:01:58.61967,12:00 AM,,Boom,253,,25/05/2025,12:00 AM,evening,2025-05-25 12:01:58.619672
169,Boom Lift 80 Feet,2025-05-25 12:01:58.682577,12:00 AM,,Boom,253,,25/05/2025,12:00 AM,evening,2025-05-25 12:01:58.68258
170,Boom Lift 60 Feet,2025-05-25 12:01:58.745917,12:00 AM,,Boom,253,,25/05/2025,12:00 AM,evening,2025-05-25 12:01:58.745919
171,Boom Lift 45 Feet,2025-05-25 12:01:58.808863,12:00 AM,,Boom,253,,25/05/2025,12:00 AM,evening,2025-05-25 12:01:58.808866
172,Scissor Lift 18 mtr,2025-05-25 12:01:58.872579,12:00 AM,,Scissor,253,,25/05/2025,12:00 AM,evening,2025-05-25 12:01:58.872581
173,Crane 16 Ton,2025-05-25 12:05:14.898296,1:00 PM,,Crane,254,,25/05/2025,8:00 AM,afternoon,2025-05-25 12:05:14.898299
174,Crane 16 Ton,2025-05-25 12:08:09.123297,1:00 PM,,Crane,254,,25/05/2025,8:00 AM,evening,2025-05-25 12:08:09.1233
175,Crane 16 Ton,2025-05-26 08:18:57.584689,6:00 PM,,Crane,253,Materials%20shifting%20,26/05/2025,8:00 AM,afternoon,2025-05-26 08:18:57.584691
176,Crane 12 Ton,2025-05-26 08:20:46.597258,12:00 AM,,Crane,254,No%20work%20,26/05/2025,12:00 AM,afternoon,2025-05-26 08:20:46.59726
177,Crane 16 Ton,2025-05-26 08:20:46.660105,12:00 AM,,Crane,254,No%20work%20,26/05/2025,12:00 AM,afternoon,2025-05-26 08:20:46.660108
178,Crane 20 Ton,2025-05-26 08:20:46.722977,12:00 AM,,Crane,254,No%20work%20,26/05/2025,12:00 AM,afternoon,2025-05-26 08:20:46.72298
179,Crane 30 Ton,2025-05-26 08:20:46.785897,12:00 AM,,Crane,254,No%20work%20,26/05/2025,12:00 AM,afternoon,2025-05-26 08:20:46.7859
180,Crane 50 Ton,2025-05-26 08:20:46.849508,12:00 AM,,Crane,254,No%20work%20,26/05/2025,12:00 AM,afternoon,2025-05-26 08:20:46.849511
181,Crane 80 Ton,2025-05-26 08:20:46.912462,12:00 AM,,Crane,254,No%20work%20,26/05/2025,12:00 AM,afternoon,2025-05-26 08:20:46.912465
182,Boom Lift 120 Feet,2025-05-26 08:20:46.975392,12:00 AM,,Boom,254,No%20work%20,26/05/2025,12:00 AM,afternoon,2025-05-26 08:20:46.975395
183,Boom Lift 80 Feet,2025-05-26 08:20:47.038314,12:00 AM,,Boom,254,No%20work%20,26/05/2025,12:00 AM,afternoon,2025-05-26 08:20:47.038317
184,Boom Lift 60 Feet,2025-05-26 08:20:47.101207,12:00 AM,,Boom,254,No%20work%20,26/05/2025,12:00 AM,afternoon,2025-05-26 08:20:47.10121
