id,created_at,project_id,reported_date,reporting_time,status,updated_at,dir_remark,pe_remark,pm_remark,pe_expense_remark,pe_machinary_remark,pe_material_remark,man_power_remark,pm_expense_remark,pm_machinary_remark,pm_material_remark,pm_manpower_remark,pm_after_machinary_remark,pm_after_manpower_remark,pm_even_machinary_remark,pm_morn_manpower_remark,submitted_by,after_man_power_remark,morn_man_power_remark,lattitude,longitude,approved_by,dir_aft_mach_remark,dir_aft_man_remark,dir_evng_expense_remark,dir_evng_mach_remark,dir_evng_mat_remark,dir_morn_man_remark,dir_mach_remark,dir_man_remark,dir_material_remark,dir_expense_remark
19,2025-05-22 19:57:35.069113,253,22/05/2025,morning,approved,2025-05-22 21:03:28.161566,,,,,,,L2-side%20cladding%20sheeting%2CGable%20end%20erection,,,,,,,,,317,,,74.8036548,12.9743719,314,,,,,,,,,,
20,2025-05-22 20:01:55.593397,253,22/05/2025,afternoon,approved,2025-05-22 21:03:28.161653,,,,,Crane%20in%20Nikitha%20Scope-Monthly%20rental..pls%20deduct%20one%20day%20charge%20of%20crane%20from%20Siddharth%20enterprises%20,,Same%20works%20going%20on,,,,,,,,,317,,,74.8036452,12.9743439,314,,,,,,,,,,
26,2025-05-23 15:05:45.659416,253,23/05/2025,morning,approved,2025-05-23 18:51:47.743656,,,,,,,,,,,,,,,,317,,,74.8179152,12.9235029,314,,,,,,,,,,
27,2025-05-23 15:06:17.821379,253,23/05/2025,afternoon,approved,2025-05-23 18:51:47.743829,,,,,,,,,,,,,,,,317,,,74.8179089,12.9235129,314,,,,,,,,,,
30,2025-05-23 17:55:09.792903,253,23/05/2025,evening,approved,2025-05-23 18:51:47.743856,,,,,Today%20No%20works%20,,,,,,,,,,,317,,,74.8178809,12.9235278,314,,,,,,,,,,
24,2025-05-23 12:21:41.405253,254,23/05/2025,morning,approved,2025-05-23 18:52:59.509666,,,,,,,,,,,,,,,,317,,,74.8177985,12.9235706,314,,,,,,,,,,
25,2025-05-23 12:30:11.892687,254,23/05/2025,afternoon,approved,2025-05-23 18:52:59.509764,,,,,F15%20farrana%20-%20Nikitha%20scope-%20Monthly%20rental%20-%20From%2019th%20May(Erection%20team%20using%20our%20crane%202nd%20day-pls%20deduduct%20from%20there%20bill),,,,,,,,,,,317,,,74.8177854,12.923536,314,,,,,,,,,,
33,2025-05-23 18:16:52.619668,254,23/05/2025,evening,approved,2025-05-23 18:52:59.509791,,,,,Half%20day%20Crane%20used%20for%20erections%20(deduct%20from%20Siddharth%20enterprises)%20Afternoon%20our%20own%20use%20-%20supporting%20for%20cladding%20sheeting%20,,,,,,,,,,,317,,,74.8178429,12.9234712,314,,,,,,,,,,
23,2025-05-23 09:45:53.135585,250,23/05/2025,morning,approved,2025-05-23 21:37:39.148285,,,ok,,,,,,,,,,,,,315,,,77.0530922,13.5248125,320,,,,,,,,,,
28,2025-05-23 16:03:04.512246,250,23/05/2025,afternoon,approved,2025-05-23 21:37:39.14838,,,ok,,,,,,,,,,,,,315,,,77.0527657,13.5247014,320,,,,,,,,,,
31,2025-05-23 18:12:11.892191,250,23/05/2025,evening,approved,2025-05-23 21:37:39.148409,,,ok,,,Due%20to%20site%20condition%20erection%20not%20happened%20at%20site%20,,,,,,,,,,315,,,77.0523593,13.5260643,320,,,,,,,,,,
22,2025-05-23 09:45:04.613429,252,23/05/2025,morning,approved,2025-05-23 21:39:05.058966,,,Good work. please update about the expenses also daily,,,,,,,,,,,,,315,,,77.0525842,13.5247218,320,,,,,,,,,,
29,2025-05-23 16:04:02.157969,252,23/05/2025,afternoon,approved,2025-05-23 21:39:05.059038,,,Good work. please update about the expenses also daily,,,,,,,,,,,,,315,,,77.0535526,13.5247068,320,,,,,,,,,,
32,2025-05-23 18:15:57.381947,252,23/05/2025,evening,approved,2025-05-23 21:39:05.059059,,,Good work. please update about the expenses also daily,,,,,,,,,,,,,315,,,77.0523583,13.5260698,320,,,,,,,,,,
34,2025-05-24 09:24:04.147959,250,24/05/2025,morning,approved,2025-05-26 11:53:06.422081,,,why no work at sit?? ,,,,,,,,,,,,,315,,,0.0,0.0,320,,,,,,,,,,
37,2025-05-24 13:50:03.144101,250,24/05/2025,afternoon,approved,2025-05-26 11:53:06.422158,,,why no work at sit?? ,,,,,,,,,,,,,315,,,77.054084,13.5370123,320,,,,,,,,,,
45,2025-05-24 17:57:14.514885,250,24/05/2025,evening,approved,2025-05-26 11:53:06.422175,,,why no work at sit?? ,,,,,,,,,,,,,315,,,77.1067257,13.3824346,320,,,,,,,,,,
35,2025-05-24 09:24:37.186569,252,24/05/2025,morning,approved,2025-05-26 11:53:51.813156,,,please update expenditure also,,,,,,,,,,,,,315,,,77.052414,13.5247598,320,,,,,,,,,,
36,2025-05-24 13:49:15.811833,252,24/05/2025,afternoon,approved,2025-05-26 11:53:51.813215,,,please update expenditure also,,,,,,,,,,,,,315,,,0.0,0.0,320,,,,,,,,,,
44,2025-05-24 17:47:50.104818,252,24/05/2025,evening,approved,2025-05-26 11:53:51.813232,,,please update expenditure also,,,,,,,,,,,,,315,,,77.1070564,13.3824876,320,,,,,,,,,,
38,2025-05-24 17:19:26.980493,253,24/05/2025,morning,approved,2025-05-26 13:32:12.355402,,,,,,,Painting%20team%202%20%26%20sheeting%20team%204,,,,,,,,,317,,,74.817917,12.9233782,314,,,,,,,,,,
39,2025-05-24 17:21:25.458918,253,24/05/2025,afternoon,approved,2025-05-26 13:32:12.355459,,,,,Today%20No%20work%20,,Today%20No%20work%20,,,,,,,,,317,,,74.8179363,12.9234725,314,,,,,,,,,,
40,2025-05-24 17:24:30.74909,253,24/05/2025,evening,approved,2025-05-26 13:32:12.355475,,,,,Today%20No%20work%20,Today%20No%20work%20,,,,,,,,,,317,,,74.8179318,12.9234659,314,,,,,,,,,,
41,2025-05-24 17:24:33.275035,253,24/05/2025,evening,approved,2025-05-26 13:32:12.35549,,,,,Today%20No%20work%20,Today%20No%20work%20,,,,,,,,,,317,,,74.8179318,12.9234659,314,,,,,,,,,,
47,2025-05-25 17:28:17.714467,253,25/05/2025,morning,approved,2025-05-26 13:32:42.395093,,,,,,,,,,,,,,,,317,,,74.8036324,12.9743452,314,,,,,,,,,,
48,2025-05-25 17:28:45.800249,253,25/05/2025,afternoon,approved,2025-05-26 13:32:42.395154,,,,,,,,,,,,,,,,317,,,74.8035895,12.9742541,314,,,,,,,,,,
49,2025-05-25 17:31:54.773266,253,25/05/2025,evening,approved,2025-05-26 13:32:42.395173,,,,,,,,,,,,,,,,317,,,74.803602,12.9743272,314,,,,,,,,,,
42,2025-05-24 17:25:25.150885,254,24/05/2025,morning,approved,2025-05-26 13:33:04.477987,,,,,,,Painting%20team-2%20%26%20Sheeting%20team-%204,,,,,,,,,317,,,74.8179911,12.9234868,314,,,,,,,,,,
43,2025-05-24 17:27:22.331708,254,24/05/2025,afternoon,approved,2025-05-26 13:33:04.478043,,,,,Crane%20monthly%20rental(Our%20Scope)from%2019th%20May%20,,Painting%20team%20-2%20%26%20Sheeting%20team-4,,,,,,,,,317,,,74.8179525,12.9234748,314,,,,,,,,,,
46,2025-05-24 18:34:31.313259,254,24/05/2025,evening,approved,2025-05-26 13:33:04.478063,,,,,,Rainy%20day,,,,,,,,,,317,,,74.8268457,12.9264288,314,,,,,,,,,,
50,2025-05-25 17:33:20.669335,254,25/05/2025,morning,approved,2025-05-26 13:33:21.751108,,,,,,,Sheeting%20team%204%20only%20came%2C%20hasn't%20happened%20any%20work%20due%20to%20rain,,,,,,,,,317,,,74.8036115,12.9743257,314,,,,,,,,,,
51,2025-05-25 17:35:14.96157,254,25/05/2025,afternoon,approved,2025-05-26 13:33:21.751173,,,,,,,,,,,,,,,,317,,,74.8036322,12.9743117,314,,,,,,,,,,
52,2025-05-25 17:38:05.654214,254,25/05/2025,evening,approved,2025-05-26 13:33:21.751194,,,,,Rainy%20Day,,,,,,,,,,,317,,,74.8035838,12.9742609,314,,,,,,,,,,
55,2025-05-26 13:50:06.444173,254,26/05/2025,morning,approved,2025-05-26 21:10:45.38898,,,,,,,No%20work%20due%20to%20rain%20and%20payment%20issue%20,,,,,,,,,317,,,77.5750008,12.9775462,314,,,,,,,,,,
59,2025-05-26 15:34:30.493997,250,26/05/2025,morning,approved,2025-05-26 20:08:23.334127,,,why no work at shop 1,,,,Two%20man%20power%20at%20site%20for%20materials%20unloading%20work%2C%20erection%20work%20not%20commence%20due%20to%20rain.,,,,,,,,,315,,,77.0525213,13.5259995,320,,,,,,,,,,
60,2025-05-26 15:35:20.767875,250,26/05/2025,afternoon,approved,2025-05-26 20:08:23.33419,,,why no work at shop 1,,,,,,,,,,,,,315,,,77.0525177,13.5260173,320,,,,,,,,,,
62,2025-05-26 19:45:47.954826,250,26/05/2025,evening,approved,2025-05-26 20:08:23.334269,,,why no work at shop 1,,,Due%20to%20rain%20crane%20movement%20not%20possible%20at%20inside%20the%20site,,,,,,,,,,315,,,77.0527711,13.5246999,320,,,,,,,,,,
57,2025-05-26 15:32:00.322521,252,26/05/2025,morning,rejected,2025-05-26 20:09:29.776782,,,please provide the reason why there is no work at site,,,,,,,,,,,,,315,,,0.0,0.0,,,,,,,,,,,
58,2025-05-26 15:32:36.488279,252,26/05/2025,afternoon,rejected,2025-05-26 20:09:29.776848,,,please provide the reason why there is no work at site,,,,,,,,,,,,,315,,,77.0525406,13.525972,,,,,,,,,,,
61,2025-05-26 19:43:04.121086,252,26/05/2025,evening,rejected,2025-05-26 20:09:29.776899,,,please provide the reason why there is no work at site,Due%20to%20drizzling%20work%20delayed%20at%20site%20,,,,,,,,,,,,315,,,77.0540405,13.536886,,,,,,,,,,,
53,2025-05-26 13:47:04.466453,253,26/05/2025,morning,approved,2025-05-26 21:09:44.34884,,,,,,,Rainy%20morning%20,,,,,,,,,317,,,77.5750453,12.9775919,314,,,,,,,,,,
54,2025-05-26 13:48:57.647592,253,26/05/2025,afternoon,approved,2025-05-26 21:09:44.348936,,,,,Materials%20shifting%20,,materials%20shifting%20(site%20vehicle%20driver%20and%20crane%20operator),,,,,,,,,317,,,77.5750282,12.9775789,314,,,,,,,,,,
63,2025-05-26 20:35:29.713579,253,26/05/2025,evening,approved,2025-05-26 21:09:44.348955,,,,,Just%20Materials%20shifting%20only%20happened%20,,,,,,,,,,,317,,,77.5749769,12.9775295,314,,,,,,,,,,
56,2025-05-26 13:50:47.290375,254,26/05/2025,afternoon,approved,2025-05-26 21:10:45.389031,,,,,No%20work%20,,,,,,,,,,,317,,,77.5749924,12.977535,314,,,,,,,,,,
64,2025-05-26 20:42:23.842266,254,26/05/2025,evening,approved,2025-05-26 21:10:45.389046,,,,,Today%20no%20works%20due%20to%20labour%20unavailability%20and%20rain%20too,Rainy%20day%20,,,,,,,,,,317,,,77.5750149,12.9775366,314,,,,,,,,,,
66,2025-05-27 11:18:01.556297,250,27/05/2025,morning,approved,2025-05-27 19:09:27.296317,,,why only 6 tie beams are done,,,,,,,,,,,,,315,,,77.052319,13.5261192,320,,,,,,,,,,
68,2025-05-27 13:03:18.756934,250,27/05/2025,afternoon,approved,2025-05-27 19:09:27.29637,,,why only 6 tie beams are done,,,,,,,,,,,,,315,,,77.0523121,13.526056,320,,,,,,,,,,
75,2025-05-27 19:07:28.333148,250,27/05/2025,evening,approved,2025-05-27 19:09:27.296414,,,why only 6 tie beams are done,,,,,,,,,,,,,315,,,77.0540838,13.5368245,320,,,,,,,,,,
65,2025-05-27 11:17:41.587393,252,27/05/2025,morning,approved,2025-05-27 19:10:18.431027,,,why no work,,,,,,,,,,,,,315,,,77.0525902,13.5260814,320,,,,,,,,,,
67,2025-05-27 13:02:36.769131,252,27/05/2025,afternoon,approved,2025-05-27 19:10:18.431091,,,why no work,,,,,,,,,,,,,315,,,77.0523845,13.5261076,320,,,,,,,,,,
74,2025-05-27 19:04:38.407157,252,27/05/2025,evening,approved,2025-05-27 19:10:18.431105,,,why no work,,,,,,,,,,,,,315,,,77.0540639,13.5368328,320,,,,,,,,,,
69,2025-05-27 14:37:20.657444,253,27/05/2025,morning,approved,2025-05-27 21:01:35.700043,,,,,,,Today%20No%20work,,,,,,,,,317,,,75.5579527,12.7312826,314,,,,,,,,,,
70,2025-05-27 14:37:42.18938,253,27/05/2025,afternoon,approved,2025-05-27 21:01:35.700095,,,,,,,,,,,,,,,,317,,,75.5573488,12.7307468,314,,,,,,,,,,
73,2025-05-27 17:21:16.478755,253,27/05/2025,evening,approved,2025-05-27 21:01:35.700142,,,,,Today%20no%20work%20,,,,,,,,,,,317,,,74.8780979,12.8702915,314,,,,,,,,,,
71,2025-05-27 14:38:47.498709,254,27/05/2025,morning,approved,2025-05-27 21:02:24.329949,,,,,,,Sheeting%20team-4%20-%20Crimp%20sheet%20screwing%20,,,,,,,,,317,,,75.5570281,12.7302864,314,,,,,,,,,,
72,2025-05-27 16:29:08.727526,254,27/05/2025,afternoon,approved,2025-05-27 21:02:24.329999,,,,,,,Roof%20Crimp%20sheet%20screwing%20in%20progress%20-%20Rain%20started%20from%204pm,,,,,,,,,317,,,74.8914291,12.8714134,314,,,,,,,,,,
76,2025-05-27 19:08:32.399682,254,27/05/2025,evening,approved,2025-05-27 21:02:24.330013,,,,700%20for%20materials%20transportation%20,Bucket%20crane%20used%20for%20Crimp%20sheet%20screwing%20,Roof%20Crimp%20sheet%20screwing%20done,,,,,,,,,,317,,,74.8170319,12.9385811,314,,,,,,,,,,
77,2025-05-28 10:51:46.075097,250,28/05/2025,morning,approved,2025-05-29 00:06:47.441623,,,,,,,,,,,,,,,,315,,,77.0525858,13.5247866,320,,,,,,,,,,
82,2025-05-28 15:16:47.903452,250,28/05/2025,afternoon,approved,2025-05-29 00:06:47.441687,,,,,,,,,,,,,,,,315,,,77.0530887,13.5254112,320,,,,,,,,,,
88,2025-05-28 17:46:54.235455,250,28/05/2025,evening,approved,2025-05-29 00:06:47.441699,,,,,,Due%20to%20site%20condition%20vehicle%20moment%20not%20possible%20at%20site%20so%20work%20getting%20delayed%2Ctoday%20second%20half%20one%20hour%20drizzling%20at%20site%20,,,,,,,,,,315,,,77.0524038,13.5260954,320,,,,,,,,,,
78,2025-05-28 10:52:28.725359,252,28/05/2025,morning,approved,2025-05-29 00:07:15.314782,,,,,,,,,,,,,,,,315,,,77.0526595,13.5248458,320,,,,,,,,,,
81,2025-05-28 15:15:57.28084,252,28/05/2025,afternoon,approved,2025-05-29 00:07:15.314821,,,,,,,,,,,,,,,,315,,,77.0530748,13.5254937,320,,,,,,,,,,
89,2025-05-28 17:52:38.593401,252,28/05/2025,evening,approved,2025-05-29 00:07:15.314831,,,,Grid%20line%20Ee%20lean%20to%20roof%20above%20windows%20frames%20total%2016%2F22%20no's%20completed,,Today%205%20no's%20windows%20frames%20fixing%20work%20done%20and%20grid%2024%20cafeteria%20above%20anchor%20bolts%20fixing%20work%20,,,,,,,,,,315,,,77.0524047,13.5260153,320,,,,,,,,,,
83,2025-05-28 15:51:11.2699,254,28/05/2025,morning,approved,2025-05-29 13:02:29.315239,,,,,,,Cladding%20sheeting%20in%20progress%20(Louvers%20sheeting),,,,,,,,,317,,,74.8178779,12.9234968,314,,,,,,,,,,
84,2025-05-28 15:52:37.991092,254,28/05/2025,afternoon,approved,2025-05-29 13:02:29.315281,,,,,Crane%20is%20using%20for%20Louvers%20sheeting%20,,Cladding%20sheeting%20in%20progress%20,,,,,,,,,317,,,74.8178747,12.9234912,314,,,,,,,,,,
86,2025-05-28 17:37:11.033169,254,28/05/2025,evening,approved,2025-05-29 13:02:29.315295,,,,Diesel%20for%20DG,Crane%20used%20for%20Cladding%20sheeting%20,Only%20Cladding%20sheeting%20in%20progress%20-%2046.875%20sqm%20done%20today,,,,,,,,,,317,,,74.8182498,12.9237902,314,,,,,,,,,,
79,2025-05-28 14:01:06.669581,253,28/05/2025,morning,approved,2025-05-29 13:03:02.128971,,,,,,,Today%20No%20work%20,,,,,,,,,317,,,74.8184351,12.9244049,314,,,,,,,,,,
80,2025-05-28 14:01:43.615466,253,28/05/2025,afternoon,approved,2025-05-29 13:03:02.129011,,,,,No%20equipments,,,,,,,,,,,317,,,74.8183537,12.9244264,314,,,,,,,,,,
85,2025-05-28 15:55:32.424458,253,28/05/2025,evening,approved,2025-05-29 13:03:02.129022,,,,,Today%20No%20work%20,,,,,,,,,,,317,,,74.817865,12.9234992,314,,,,,,,,,,
91,2025-05-29 09:32:46.40581,252,29/05/2025,morning,approved,2025-05-29 19:43:17.669384,,,approved,,,,,,,,,,,,,315,,,77.0528577,13.5259099,320,,,,,,,,,,
90,2025-05-29 09:32:09.400009,250,29/05/2025,morning,approved,2025-06-04 14:34:39.537239,,,,,,,,,,,,,,,,315,,,0.0,0.0,333,,,,,,,,,,
181,2025-06-06 09:04:27.907824,252,06/06/2025,morning,approved,2025-06-06 21:43:28.44149,,,,,,,,,,,,,,,,315,,,77.0523313,13.5261272,320,,,,,,,,,,
183,2025-06-06 15:40:34.182004,252,06/06/2025,afternoon,approved,2025-06-06 21:43:28.441555,,,,,,,,,,,,,,,,315,,,77.0540824,13.5368308,320,,,,,,,,,,
227,2025-06-11 13:44:17.475573,252,11/06/2025,afternoon,approved,2025-06-12 12:15:14.211795,,,,,,,,,,,,,,,,315,,,77.0540261,13.537096,320,,,,,,,,,,
180,2025-06-06 09:04:07.103727,250,06/06/2025,morning,approved,2025-06-20 13:30:28.121627,,,,,,,,,,,,,,,,315,,,77.0523211,13.52606,314,,,,,,,,,,
182,2025-06-06 15:39:46.470031,250,06/06/2025,afternoon,approved,2025-06-20 13:30:28.121655,,,,,,,,,,,,,,,,315,,,0.0,0.0,314,,,,,,,,,,
87,2025-05-28 17:37:12.192272,254,28/05/2025,evening,approved,2025-05-29 13:02:29.315308,,,,Diesel%20for%20DG,Crane%20used%20for%20Cladding%20sheeting%20,Only%20Cladding%20sheeting%20in%20progress%20-%2046.875%20sqm%20done%20today,,,,,,,,,,317,,,74.8182498,12.9237902,314,,,,,,,,,,
92,2025-05-29 14:17:30.261999,252,29/05/2025,afternoon,approved,2025-05-29 19:43:17.669429,,,approved,,cladding%20sheets%20fixing%20work%20and%20windows%20frames%20cleats%20welding%20work%20in%20progress%20,,,,,,,,,,,315,,,0.0,0.0,320,,,,,,,,,,
95,2025-05-29 17:57:48.510237,252,29/05/2025,evening,approved,2025-05-29 19:43:17.66944,,,approved,Due%20to%20drizzling%20from%204%3A30%20to%205%3A40%20at%20site%20work%20is%20getting%20delayed%2C%20windows%20frames%20cleats%20welding%20and%20cladding%20sheets%20fixing%20work%20at%20grid%20line%20Ee%20,,,,,,,,,,,,315,,,0.0,0.0,320,,,,,,,,,,
104,2025-05-30 09:23:32.567264,252,30/05/2025,morning,approved,2025-05-30 19:40:22.59756,,,Good progress,,,,,,,,,,,,,315,,,77.0536719,13.5244525,320,,,,,,,,,,
111,2025-05-30 16:07:54.028714,252,30/05/2025,afternoon,approved,2025-05-30 19:40:22.5976,,,Good progress,,,,,,,,,,,,,315,,,77.0536759,13.5246887,320,,,,,,,,,,
112,2025-05-30 18:07:21.372027,252,30/05/2025,evening,approved,2025-05-30 19:40:22.597614,,,Good progress,,,Grid%2024%20anchor%20bolts%20fixing%20work%20completed%2C%20cladding%20sheets%20fixing%20work%20and%20Higher%20bays%20Box%20purlins%20welding%206%20no's%20has%20been%20completed%20,,,,,,,,,,315,,,77.0523982,13.5260757,320,,,,,,,,,,
118,2025-05-31 10:34:58.674825,252,31/05/2025,morning,approved,2025-05-31 22:43:49.333607,,,,,,,,,,,,,,,,315,,,77.0535405,13.5249036,320,,,,,,,,,,
120,2025-05-31 14:15:41.71806,252,31/05/2025,afternoon,approved,2025-05-31 22:43:49.333686,,,,,,,Cladding%20sheets%20and%20windows%20frames%20cleats%20welding%20work%20in%20progress%20at%20shop3,,,,,,,,,315,,,0.0,0.0,320,,,,,,,,,,
128,2025-05-31 18:37:05.846737,252,31/05/2025,evening,approved,2025-05-31 22:43:49.333697,,,,,,Cladding%20sheets%20fixing%20at%20grid%20Ee%2C%20Windows%20frames%20cleats%20welding%20and%20grid%20line%20EA%20box%20purlins%20welding%20work,,,,,,,,,,315,,,77.0524294,13.5260666,320,,,,,,,,,,
106,2025-05-30 14:30:17.09149,253,30/05/2025,morning,approved,2025-06-02 20:26:53.695218,,,,,,,Today%20No%20work%20,,,,,,,,,317,,,0.0,0.0,314,,,,,,,,,,
107,2025-05-30 14:30:48.247919,253,30/05/2025,afternoon,approved,2025-06-02 20:26:53.695256,,,,,No%20equipments%20,,,,,,,,,,,317,,,74.8117869,12.9421812,314,,,,,,,,,,
114,2025-05-30 20:47:48.35157,253,30/05/2025,evening,approved,2025-06-02 20:26:53.695276,,,,,,,,,,,,,,,,317,,,74.8049876,12.974156,314,,,,,,,,,,
115,2025-05-30 20:47:49.572238,253,30/05/2025,evening,approved,2025-06-02 20:26:53.695286,,,,,,,,,,,,,,,,317,,,74.8049876,12.974156,314,,,,,,,,,,
96,2025-05-29 18:05:21.523992,253,29/05/2025,morning,approved,2025-06-02 20:27:35.825545,,,,,,,Today%20no%20works%20,,,,,,,,,317,,,74.8179939,12.9232535,314,,,,,,,,,,
97,2025-05-29 18:05:51.108949,253,29/05/2025,afternoon,approved,2025-06-02 20:27:35.825615,,,,,No%20equipments%20,,,,,,,,,,,317,,,74.8179713,12.9234299,314,,,,,,,,,,
98,2025-05-29 18:07:44.670947,253,29/05/2025,evening,approved,2025-06-02 20:27:35.825627,,,,,,,,,,,,,,,,317,,,74.8179579,12.9234518,314,,,,,,,,,,
99,2025-05-29 18:07:59.81464,253,29/05/2025,evening,approved,2025-06-02 20:27:35.825637,,,,,,,,,,,,,,,,317,,,74.8179579,12.9234518,314,,,,,,,,,,
134,2025-06-02 14:41:31.23081,253,02/06/2025,morning,approved,2025-06-02 20:28:01.047486,,,,,,,No%20work%20,,,,,,,,,317,,,74.8219467,12.9286953,314,,,,,,,,,,
100,2025-05-29 21:39:11.064563,254,29/05/2025,morning,approved,2025-06-02 20:28:21.088394,,,,,,,Cladding%20sheeting%20in%20progress%20,,,,,,,,,317,,,74.8050015,12.9742299,314,,,,,,,,,,
101,2025-05-29 21:41:10.863605,254,29/05/2025,afternoon,approved,2025-06-02 20:28:21.088422,,,,,Crane%20used%20for%20Sheeting%20work,,Louvers%20sheeting%20completed%20along%20GL.B%20%26%20side%20Cladding%20higher%20portion%20sheeting%20started,,,,,,,,,317,,,74.8050079,12.974225,314,,,,,,,,,,
108,2025-05-30 14:32:26.225558,254,30/05/2025,morning,approved,2025-06-02 20:28:39.410162,,,,,,,No%20labours%20came%20due%20to%20rain%20,,,,,,,,,317,,,74.8117542,12.9421815,314,,,,,,,,,,
109,2025-05-30 14:35:08.733689,254,30/05/2025,afternoon,approved,2025-06-02 20:28:39.410191,,,,,Crane%20idle%20upto%2012.30%20pm(due%20to%20heavy%20rain),,Cladding%20sheeting%20started%20from%2012.30pm,,,,,,,,,317,,,74.8117523,12.942185,314,,,,,,,,,,
117,2025-05-30 20:57:15.494904,254,30/05/2025,evening,approved,2025-06-02 20:28:39.410199,,,,480%20-%20Drinking%20water%2C1000%20diesel%20for%20DG%261000%20diesel%20for%20site%20vehicle%2C70-%20lunch%20for%20PMC,Work%20started%20from%2012pm%20to%206pm,,,,,,,,,,,317,,,74.8049882,12.9741563,314,,,,,,,,,,
125,2025-05-31 16:31:47.424365,254,31/05/2025,morning,approved,2025-06-02 20:29:01.864158,,,,,,,Today%20No%20PEB%20work%2C%20Only%20civil%20work-Road%20PQC%20%26%20Retaining%20wall%20shuttering%20,,,,,,,,,317,,,74.8036516,12.9743462,314,,,,,,,,,,
126,2025-05-31 16:32:32.026939,254,31/05/2025,afternoon,approved,2025-06-02 20:29:01.864189,,,,,,,,,,,,,,,,317,,,74.8036504,12.9743307,314,,,,,,,,,,
127,2025-05-31 16:34:56.427008,254,31/05/2025,evening,approved,2025-06-02 20:29:01.864199,,,,,F15%20-%20Crane%20Released%20today...%20total%2013%20days%20worked%20Bill%20will%20be%20submitted%20on%20Monday%20by%20supplier%20,,,,,,,,,,,317,,,74.8036504,12.9743307,314,,,,,,,,,,
130,2025-06-02 12:40:15.122058,252,02/06/2025,morning,approved,2025-06-02 23:12:06.46088,,,why no photos,,,,,,,,,,,,,315,,,77.0520891,13.5261329,320,,,,,,,,,,
133,2025-06-02 14:08:49.456858,252,02/06/2025,afternoon,approved,2025-06-02 23:12:06.460912,,,why no photos,,,,,,,,,,,,,315,,,77.0541066,13.5370946,320,,,,,,,,,,
131,2025-06-02 12:40:38.071002,250,02/06/2025,morning,approved,2025-06-04 14:33:01.296617,,,,,,,,,,,,,,,,315,,,77.0520992,13.526134,333,,,,,,,,,,
132,2025-06-02 14:07:40.12386,250,02/06/2025,afternoon,approved,2025-06-04 14:33:01.296659,,,,,,,,,,,,,,,,315,,,77.054138,13.5370961,333,,,,,,,,,,
119,2025-05-31 10:35:26.603902,250,31/05/2025,morning,approved,2025-06-04 14:33:54.232407,,,,,,,,,,,,,,,,315,,,77.0535288,13.5248747,333,,,,,,,,,,
121,2025-05-31 14:16:41.760568,250,31/05/2025,afternoon,approved,2025-06-04 14:33:54.232436,,,,,,,,,,,,,,,,315,,,77.0525468,13.526117,333,,,,,,,,,,
