id,created_at,man_count,man_power_type,reported_date,reporting_time,updated_at,project_id,remark
57,2025-05-16 11:52:57.241934,10,Rigger / Helper,16/05/2025,afternoon,2025-05-16 11:52:57.241951,255,aternoon%20manpower
58,2025-05-16 11:52:57.290446,10,Signal Man / Fire Man,16/05/2025,afternoon,2025-05-16 11:52:57.290473,255,aternoon%20manpower
59,2025-05-16 11:52:57.339209,10,Daily Wage Labour,16/05/2025,afternoon,2025-05-16 11:52:57.339228,255,aternoon%20manpower
60,2025-05-16 11:52:57.387156,10,Others,16/05/2025,afternoon,2025-05-16 11:52:57.387167,255,aternoon%20manpower
61,2025-05-16 15:09:40.993179,2,Welder / Gas Cutter / Grinder,16/05/2025,afternoon,2025-05-16 15:09:40.993189,252,
62,2025-05-16 15:09:41.060415,4,Fitter / Fabricator,16/05/2025,afternoon,2025-05-16 15:09:41.060423,252,
63,2025-05-16 15:09:41.126359,4,Rigger / Helper,16/05/2025,afternoon,2025-05-16 15:09:41.126365,252,
64,2025-05-16 15:09:41.192357,0,Signal Man / Fire Man,16/05/2025,afternoon,2025-05-16 15:09:41.192365,252,
65,2025-05-16 15:09:41.258324,0,Daily Wage Labour,16/05/2025,afternoon,2025-05-16 15:09:41.258333,252,
66,2025-05-16 15:09:41.324233,0,Others,16/05/2025,afternoon,2025-05-16 15:09:41.324241,252,
67,2025-05-22 05:02:35.766336,2,Welder / Gas Cutter / Grinder,22/05/2025,morning,2025-05-22 05:02:35.76634,252,
68,2025-05-22 05:02:35.832853,4,Fitter / Fabricator,22/05/2025,morning,2025-05-22 05:02:35.832857,252,
69,2025-05-22 05:02:35.899252,6,Rigger / Helper,22/05/2025,morning,2025-05-22 05:02:35.899258,252,
70,2025-05-22 05:02:35.965384,0,Signal Man / Fire Man,22/05/2025,morning,2025-05-22 05:02:35.965388,252,
71,2025-05-22 05:02:36.031996,0,Daily Wage Labour,22/05/2025,morning,2025-05-22 05:02:36.032,252,
72,2025-05-22 05:02:36.099192,0,Others,22/05/2025,morning,2025-05-22 05:02:36.099196,252,
73,2025-05-22 05:03:54.196181,2,Fitter / Fabricator,22/05/2025,morning,2025-05-22 05:03:54.196191,250,
74,2025-05-22 05:03:54.260738,4,Rigger / Helper,22/05/2025,morning,2025-05-22 05:03:54.260742,250,
75,2025-05-22 05:03:54.324978,0,Welder / Gas Cutter / Grinder,22/05/2025,morning,2025-05-22 05:03:54.324983,250,
76,2025-05-22 05:03:54.389661,0,Signal Man / Fire Man,22/05/2025,morning,2025-05-22 05:03:54.38967,250,
77,2025-05-22 05:03:54.454247,0,Daily Wage Labour,22/05/2025,morning,2025-05-22 05:03:54.45425,250,
78,2025-05-22 05:03:54.51872,0,Others,22/05/2025,morning,2025-05-22 05:03:54.518729,250,
79,2025-05-22 09:28:04.628099,2,Fitter / Fabricator,22/05/2025,afternoon,2025-05-22 09:28:04.628102,250,
80,2025-05-22 09:28:04.692573,4,Rigger / Helper,22/05/2025,afternoon,2025-05-22 09:28:04.692576,250,
81,2025-05-22 09:28:04.757121,0,Welder / Gas Cutter / Grinder,22/05/2025,afternoon,2025-05-22 09:28:04.757123,250,
82,2025-05-22 09:28:04.822431,0,Signal Man / Fire Man,22/05/2025,afternoon,2025-05-22 09:28:04.822434,250,
83,2025-05-22 09:28:04.887012,0,Daily Wage Labour,22/05/2025,afternoon,2025-05-22 09:28:04.887014,250,
84,2025-05-22 09:28:04.951565,0,Others,22/05/2025,afternoon,2025-05-22 09:28:04.951568,250,
85,2025-05-22 09:29:56.064024,2,Welder / Gas Cutter / Grinder,22/05/2025,afternoon,2025-05-22 09:29:56.064027,252,
86,2025-05-22 09:29:56.128533,4,Fitter / Fabricator,22/05/2025,afternoon,2025-05-22 09:29:56.128536,252,
87,2025-05-22 09:29:56.192928,6,Rigger / Helper,22/05/2025,afternoon,2025-05-22 09:29:56.192931,252,
88,2025-05-22 09:29:56.257031,0,Signal Man / Fire Man,22/05/2025,afternoon,2025-05-22 09:29:56.257034,252,
89,2025-05-22 09:29:56.321211,0,Daily Wage Labour,22/05/2025,afternoon,2025-05-22 09:29:56.321214,252,
90,2025-05-22 09:29:56.38535,0,Others,22/05/2025,afternoon,2025-05-22 09:29:56.385354,252,
91,2025-05-22 14:27:34.196572,4,Fitter / Fabricator,22/05/2025,morning,2025-05-22 14:27:34.196575,253,
92,2025-05-22 14:27:34.263828,6,Rigger / Helper,22/05/2025,morning,2025-05-22 14:27:34.26383,253,
93,2025-05-22 14:27:34.330565,0,Welder / Gas Cutter / Grinder,22/05/2025,morning,2025-05-22 14:27:34.330567,253,
94,2025-05-22 14:27:34.39876,0,Signal Man / Fire Man,22/05/2025,morning,2025-05-22 14:27:34.398763,253,
95,2025-05-22 14:27:34.465408,0,Daily Wage Labour,22/05/2025,morning,2025-05-22 14:27:34.46541,253,
96,2025-05-22 14:27:34.532306,4,Others,22/05/2025,morning,2025-05-22 14:27:34.532309,253,
97,2025-05-22 14:31:55.124886,4,Fitter / Fabricator,22/05/2025,afternoon,2025-05-22 14:31:55.12489,253,Same%20works%20going%20on
98,2025-05-22 14:31:55.191123,6,Rigger / Helper,22/05/2025,afternoon,2025-05-22 14:31:55.191126,253,Same%20works%20going%20on
99,2025-05-22 14:31:55.257202,4,Others,22/05/2025,afternoon,2025-05-22 14:31:55.257205,253,Same%20works%20going%20on
100,2025-05-22 14:31:55.323702,0,Welder / Gas Cutter / Grinder,22/05/2025,afternoon,2025-05-22 14:31:55.323704,253,Same%20works%20going%20on
101,2025-05-22 14:31:55.389706,0,Signal Man / Fire Man,22/05/2025,afternoon,2025-05-22 14:31:55.389708,253,Same%20works%20going%20on
102,2025-05-22 14:31:55.456084,0,Daily Wage Labour,22/05/2025,afternoon,2025-05-22 14:31:55.456086,253,Same%20works%20going%20on
103,2025-05-23 04:15:03.780223,2,Welder / Gas Cutter / Grinder,23/05/2025,morning,2025-05-23 04:15:03.780226,252,
104,2025-05-23 04:15:03.844137,4,Fitter / Fabricator,23/05/2025,morning,2025-05-23 04:15:03.84414,252,
105,2025-05-23 04:15:03.907315,4,Rigger / Helper,23/05/2025,morning,2025-05-23 04:15:03.907318,252,
106,2025-05-23 04:15:03.970431,0,Signal Man / Fire Man,23/05/2025,morning,2025-05-23 04:15:03.970434,252,
107,2025-05-23 04:15:04.03376,0,Daily Wage Labour,23/05/2025,morning,2025-05-23 04:15:04.033763,252,
108,2025-05-23 04:15:04.096808,0,Others,23/05/2025,morning,2025-05-23 04:15:04.096811,252,
109,2025-05-23 04:15:52.319714,2,Fitter / Fabricator,23/05/2025,morning,2025-05-23 04:15:52.319717,250,
110,2025-05-23 04:15:52.382228,4,Rigger / Helper,23/05/2025,morning,2025-05-23 04:15:52.382231,250,
111,2025-05-23 04:15:52.444736,0,Welder / Gas Cutter / Grinder,23/05/2025,morning,2025-05-23 04:15:52.444739,250,
112,2025-05-23 04:15:52.507445,0,Signal Man / Fire Man,23/05/2025,morning,2025-05-23 04:15:52.507448,250,
113,2025-05-23 04:15:52.572177,0,Daily Wage Labour,23/05/2025,morning,2025-05-23 04:15:52.57218,250,
114,2025-05-23 04:15:52.634869,0,Others,23/05/2025,morning,2025-05-23 04:15:52.634872,250,
115,2025-05-23 06:51:40.575869,4,Fitter / Fabricator,23/05/2025,morning,2025-05-23 06:51:40.575896,254,
116,2025-05-23 06:51:40.639769,6,Rigger / Helper,23/05/2025,morning,2025-05-23 06:51:40.639773,254,
117,2025-05-23 06:51:40.703228,6,Others,23/05/2025,morning,2025-05-23 06:51:40.703232,254,
118,2025-05-23 06:51:40.766892,0,Welder / Gas Cutter / Grinder,23/05/2025,morning,2025-05-23 06:51:40.766895,254,
119,2025-05-23 06:51:40.830237,0,Signal Man / Fire Man,23/05/2025,morning,2025-05-23 06:51:40.830258,254,
120,2025-05-23 06:51:40.893644,0,Daily Wage Labour,23/05/2025,morning,2025-05-23 06:51:40.893648,254,
121,2025-05-23 07:00:11.428688,4,Fitter / Fabricator,23/05/2025,afternoon,2025-05-23 07:00:11.428691,254,
122,2025-05-23 07:00:11.494152,6,Rigger / Helper,23/05/2025,afternoon,2025-05-23 07:00:11.494155,254,
123,2025-05-23 07:00:11.559552,6,Others,23/05/2025,afternoon,2025-05-23 07:00:11.559555,254,
124,2025-05-23 07:00:11.625032,0,Welder / Gas Cutter / Grinder,23/05/2025,afternoon,2025-05-23 07:00:11.625036,254,
125,2025-05-23 07:00:11.690364,0,Signal Man / Fire Man,23/05/2025,afternoon,2025-05-23 07:00:11.690368,254,
126,2025-05-23 07:00:11.755959,0,Daily Wage Labour,23/05/2025,afternoon,2025-05-23 07:00:11.755962,254,
127,2025-05-23 09:35:44.819324,0,Welder / Gas Cutter / Grinder,23/05/2025,morning,2025-05-23 09:35:44.819327,253,
128,2025-05-23 09:35:44.887265,0,Fitter / Fabricator,23/05/2025,morning,2025-05-23 09:35:44.887268,253,
129,2025-05-23 09:35:44.950906,0,Rigger / Helper,23/05/2025,morning,2025-05-23 09:35:44.950909,253,
130,2025-05-23 09:35:45.01526,0,Signal Man / Fire Man,23/05/2025,morning,2025-05-23 09:35:45.015264,253,
131,2025-05-23 09:35:45.081287,0,Daily Wage Labour,23/05/2025,morning,2025-05-23 09:35:45.08129,253,
132,2025-05-23 09:35:45.14495,0,Others,23/05/2025,morning,2025-05-23 09:35:45.144954,253,
133,2025-05-23 09:36:16.718958,0,Welder / Gas Cutter / Grinder,23/05/2025,afternoon,2025-05-23 09:36:16.718961,253,
134,2025-05-23 09:36:16.783078,0,Fitter / Fabricator,23/05/2025,afternoon,2025-05-23 09:36:16.783082,253,
135,2025-05-23 09:36:16.846926,0,Rigger / Helper,23/05/2025,afternoon,2025-05-23 09:36:16.846929,253,
136,2025-05-23 09:36:16.910757,0,Signal Man / Fire Man,23/05/2025,afternoon,2025-05-23 09:36:16.91076,253,
137,2025-05-23 09:36:16.97476,0,Daily Wage Labour,23/05/2025,afternoon,2025-05-23 09:36:16.974764,253,
138,2025-05-23 09:36:17.038944,0,Others,23/05/2025,afternoon,2025-05-23 09:36:17.038946,253,
139,2025-05-23 10:33:04.042521,2,Welder / Gas Cutter / Grinder,23/05/2025,afternoon,2025-05-23 10:33:04.042525,250,
140,2025-05-23 10:33:04.109046,4,Fitter / Fabricator,23/05/2025,afternoon,2025-05-23 10:33:04.109049,250,
141,2025-05-23 10:33:04.175702,4,Rigger / Helper,23/05/2025,afternoon,2025-05-23 10:33:04.175705,250,
142,2025-05-23 10:33:04.242014,0,Signal Man / Fire Man,23/05/2025,afternoon,2025-05-23 10:33:04.242017,250,
143,2025-05-23 10:33:04.308312,0,Daily Wage Labour,23/05/2025,afternoon,2025-05-23 10:33:04.308316,250,
144,2025-05-23 10:33:04.374765,0,Others,23/05/2025,afternoon,2025-05-23 10:33:04.374768,250,
145,2025-05-23 10:34:01.132584,2,Welder / Gas Cutter / Grinder,23/05/2025,afternoon,2025-05-23 10:34:01.132588,252,
146,2025-05-23 10:34:01.192498,3,Fitter / Fabricator,23/05/2025,afternoon,2025-05-23 10:34:01.192501,252,
147,2025-05-23 10:34:01.253669,1,Rigger / Helper,23/05/2025,afternoon,2025-05-23 10:34:01.253673,252,
148,2025-05-23 10:34:01.313611,0,Signal Man / Fire Man,23/05/2025,afternoon,2025-05-23 10:34:01.313615,252,
149,2025-05-23 10:34:01.374272,0,Daily Wage Labour,23/05/2025,afternoon,2025-05-23 10:34:01.374276,252,
150,2025-05-23 10:34:01.434205,0,Others,23/05/2025,afternoon,2025-05-23 10:34:01.434209,252,
151,2025-05-24 03:54:03.25997,0,Welder / Gas Cutter / Grinder,24/05/2025,morning,2025-05-24 03:54:03.259973,250,
152,2025-05-24 03:54:03.335983,2,Fitter / Fabricator,24/05/2025,morning,2025-05-24 03:54:03.335985,250,
153,2025-05-24 03:54:03.403012,4,Rigger / Helper,24/05/2025,morning,2025-05-24 03:54:03.403015,250,
154,2025-05-24 03:54:03.470298,0,Signal Man / Fire Man,24/05/2025,morning,2025-05-24 03:54:03.470301,250,
155,2025-05-24 03:54:03.537353,0,Daily Wage Labour,24/05/2025,morning,2025-05-24 03:54:03.537356,250,
156,2025-05-24 03:54:03.604456,0,Others,24/05/2025,morning,2025-05-24 03:54:03.604459,250,
157,2025-05-24 03:54:36.322727,2,Welder / Gas Cutter / Grinder,24/05/2025,morning,2025-05-24 03:54:36.32273,252,
158,2025-05-24 03:54:36.389068,3,Fitter / Fabricator,24/05/2025,morning,2025-05-24 03:54:36.38907,252,
159,2025-05-24 03:54:36.455447,3,Rigger / Helper,24/05/2025,morning,2025-05-24 03:54:36.45545,252,
160,2025-05-24 03:54:36.521868,0,Signal Man / Fire Man,24/05/2025,morning,2025-05-24 03:54:36.52187,252,
161,2025-05-24 03:54:36.588222,0,Daily Wage Labour,24/05/2025,morning,2025-05-24 03:54:36.588224,252,
162,2025-05-24 03:54:36.654735,0,Others,24/05/2025,morning,2025-05-24 03:54:36.654737,252,
163,2025-05-24 08:19:15.348779,2,Welder / Gas Cutter / Grinder,24/05/2025,afternoon,2025-05-24 08:19:15.348783,252,
164,2025-05-24 08:19:15.413804,3,Fitter / Fabricator,24/05/2025,afternoon,2025-05-24 08:19:15.413806,252,
165,2025-05-24 08:19:15.478766,3,Rigger / Helper,24/05/2025,afternoon,2025-05-24 08:19:15.478769,252,
166,2025-05-24 08:19:15.544155,0,Signal Man / Fire Man,24/05/2025,afternoon,2025-05-24 08:19:15.544157,252,
167,2025-05-24 08:19:15.60915,0,Daily Wage Labour,24/05/2025,afternoon,2025-05-24 08:19:15.609154,252,
168,2025-05-24 08:19:15.674272,0,Others,24/05/2025,afternoon,2025-05-24 08:19:15.674275,252,
169,2025-05-24 08:20:02.018836,0,Welder / Gas Cutter / Grinder,24/05/2025,afternoon,2025-05-24 08:20:02.018839,250,
170,2025-05-24 08:20:02.08383,2,Fitter / Fabricator,24/05/2025,afternoon,2025-05-24 08:20:02.083832,250,
171,2025-05-24 08:20:02.149113,4,Rigger / Helper,24/05/2025,afternoon,2025-05-24 08:20:02.149116,250,
172,2025-05-24 08:20:02.214549,0,Signal Man / Fire Man,24/05/2025,afternoon,2025-05-24 08:20:02.214552,250,
173,2025-05-24 08:20:02.279731,0,Daily Wage Labour,24/05/2025,afternoon,2025-05-24 08:20:02.279733,250,
174,2025-05-24 08:20:02.34525,0,Others,24/05/2025,afternoon,2025-05-24 08:20:02.345253,250,
175,2025-05-24 11:49:26.283316,6,Others,24/05/2025,morning,2025-05-24 11:49:26.283318,253,
176,2025-05-24 11:49:26.336472,0,Welder / Gas Cutter / Grinder,24/05/2025,morning,2025-05-24 11:49:26.336475,253,
177,2025-05-24 11:49:26.389807,0,Fitter / Fabricator,24/05/2025,morning,2025-05-24 11:49:26.38981,253,
178,2025-05-24 11:49:26.443103,0,Rigger / Helper,24/05/2025,morning,2025-05-24 11:49:26.443105,253,
179,2025-05-24 11:49:26.496265,0,Signal Man / Fire Man,24/05/2025,morning,2025-05-24 11:49:26.496268,253,
180,2025-05-24 11:49:26.549491,0,Daily Wage Labour,24/05/2025,morning,2025-05-24 11:49:26.549494,253,
181,2025-05-24 11:51:24.602223,0,Welder / Gas Cutter / Grinder,24/05/2025,afternoon,2025-05-24 11:51:24.602226,253,Today%20No%20work%20
182,2025-05-24 11:51:24.652342,0,Fitter / Fabricator,24/05/2025,afternoon,2025-05-24 11:51:24.652345,253,Today%20No%20work%20
183,2025-05-24 11:51:24.70309,0,Rigger / Helper,24/05/2025,afternoon,2025-05-24 11:51:24.703092,253,Today%20No%20work%20
184,2025-05-24 11:51:24.753175,0,Signal Man / Fire Man,24/05/2025,afternoon,2025-05-24 11:51:24.753178,253,Today%20No%20work%20
185,2025-05-24 11:51:24.803154,0,Daily Wage Labour,24/05/2025,afternoon,2025-05-24 11:51:24.803158,253,Today%20No%20work%20
186,2025-05-24 11:51:24.853588,0,Others,24/05/2025,afternoon,2025-05-24 11:51:24.853591,253,Today%20No%20work%20
187,2025-05-24 11:55:24.45316,6,Others,24/05/2025,morning,2025-05-24 11:55:24.453163,254,
188,2025-05-24 11:55:24.506866,0,Welder / Gas Cutter / Grinder,24/05/2025,morning,2025-05-24 11:55:24.506869,254,
189,2025-05-24 11:55:24.560515,0,Fitter / Fabricator,24/05/2025,morning,2025-05-24 11:55:24.560518,254,
190,2025-05-24 11:55:24.614019,0,Rigger / Helper,24/05/2025,morning,2025-05-24 11:55:24.614021,254,
191,2025-05-24 11:55:24.668078,0,Signal Man / Fire Man,24/05/2025,morning,2025-05-24 11:55:24.66808,254,
192,2025-05-24 11:55:24.721805,0,Daily Wage Labour,24/05/2025,morning,2025-05-24 11:55:24.721808,254,
193,2025-05-24 11:57:21.977107,6,Others,24/05/2025,afternoon,2025-05-24 11:57:21.97711,254,Painting%20team%20-2%20%26%20Sheeting%20team-4
194,2025-05-24 11:57:22.027656,0,Welder / Gas Cutter / Grinder,24/05/2025,afternoon,2025-05-24 11:57:22.027659,254,Painting%20team%20-2%20%26%20Sheeting%20team-4
195,2025-05-24 11:57:22.078134,0,Fitter / Fabricator,24/05/2025,afternoon,2025-05-24 11:57:22.078136,254,Painting%20team%20-2%20%26%20Sheeting%20team-4
196,2025-05-24 11:57:22.128816,0,Rigger / Helper,24/05/2025,afternoon,2025-05-24 11:57:22.128826,254,Painting%20team%20-2%20%26%20Sheeting%20team-4
197,2025-05-24 11:57:22.179527,0,Signal Man / Fire Man,24/05/2025,afternoon,2025-05-24 11:57:22.179529,254,Painting%20team%20-2%20%26%20Sheeting%20team-4
198,2025-05-24 11:57:22.230088,0,Daily Wage Labour,24/05/2025,afternoon,2025-05-24 11:57:22.230091,254,Painting%20team%20-2%20%26%20Sheeting%20team-4
199,2025-05-25 11:58:16.890885,0,Welder / Gas Cutter / Grinder,25/05/2025,morning,2025-05-25 11:58:16.890888,253,
200,2025-05-25 11:58:16.953773,0,Fitter / Fabricator,25/05/2025,morning,2025-05-25 11:58:16.953776,253,
201,2025-05-25 11:58:17.016633,0,Rigger / Helper,25/05/2025,morning,2025-05-25 11:58:17.016636,253,
202,2025-05-25 11:58:17.079479,0,Signal Man / Fire Man,25/05/2025,morning,2025-05-25 11:58:17.079481,253,
203,2025-05-25 11:58:17.142475,0,Daily Wage Labour,25/05/2025,morning,2025-05-25 11:58:17.142478,253,
204,2025-05-25 11:58:17.205424,0,Others,25/05/2025,morning,2025-05-25 11:58:17.205427,253,
205,2025-05-25 11:58:44.722826,0,Welder / Gas Cutter / Grinder,25/05/2025,afternoon,2025-05-25 11:58:44.722828,253,
206,2025-05-25 11:58:44.785689,0,Fitter / Fabricator,25/05/2025,afternoon,2025-05-25 11:58:44.785692,253,
207,2025-05-25 11:58:44.84866,0,Rigger / Helper,25/05/2025,afternoon,2025-05-25 11:58:44.848663,253,
208,2025-05-25 11:58:44.912045,0,Signal Man / Fire Man,25/05/2025,afternoon,2025-05-25 11:58:44.912048,253,
209,2025-05-25 11:58:44.975004,0,Daily Wage Labour,25/05/2025,afternoon,2025-05-25 11:58:44.975007,253,
210,2025-05-25 11:58:45.038046,0,Others,25/05/2025,afternoon,2025-05-25 11:58:45.038049,253,
211,2025-05-25 12:03:19.851297,4,Others,25/05/2025,morning,2025-05-25 12:03:19.8513,254,
212,2025-05-25 12:03:19.915046,0,Welder / Gas Cutter / Grinder,25/05/2025,morning,2025-05-25 12:03:19.915049,254,
213,2025-05-25 12:03:19.977908,0,Fitter / Fabricator,25/05/2025,morning,2025-05-25 12:03:19.977911,254,
214,2025-05-25 12:03:20.040933,0,Rigger / Helper,25/05/2025,morning,2025-05-25 12:03:20.040936,254,
215,2025-05-25 12:03:20.103846,0,Signal Man / Fire Man,25/05/2025,morning,2025-05-25 12:03:20.103849,254,
216,2025-05-25 12:03:20.166694,0,Daily Wage Labour,25/05/2025,morning,2025-05-25 12:03:20.166697,254,
217,2025-05-25 12:05:14.518926,0,Others,25/05/2025,afternoon,2025-05-25 12:05:14.518929,254,
218,2025-05-25 12:05:14.581897,0,Welder / Gas Cutter / Grinder,25/05/2025,afternoon,2025-05-25 12:05:14.581899,254,
219,2025-05-25 12:05:14.645015,0,Fitter / Fabricator,25/05/2025,afternoon,2025-05-25 12:05:14.645018,254,
220,2025-05-25 12:05:14.707957,0,Rigger / Helper,25/05/2025,afternoon,2025-05-25 12:05:14.70796,254,
221,2025-05-25 12:05:14.771369,0,Signal Man / Fire Man,25/05/2025,afternoon,2025-05-25 12:05:14.771371,254,
222,2025-05-25 12:05:14.834323,0,Daily Wage Labour,25/05/2025,afternoon,2025-05-25 12:05:14.834326,254,
223,2025-05-26 08:17:03.623696,0,Others,26/05/2025,morning,2025-05-26 08:17:03.623699,253,
224,2025-05-26 08:17:03.688043,0,Welder / Gas Cutter / Grinder,26/05/2025,morning,2025-05-26 08:17:03.688046,253,
225,2025-05-26 08:17:03.752252,0,Fitter / Fabricator,26/05/2025,morning,2025-05-26 08:17:03.752255,253,
226,2025-05-26 08:17:03.816677,0,Rigger / Helper,26/05/2025,morning,2025-05-26 08:17:03.816679,253,
227,2025-05-26 08:17:03.880859,0,Signal Man / Fire Man,26/05/2025,morning,2025-05-26 08:17:03.880862,253,
228,2025-05-26 08:17:03.945085,0,Daily Wage Labour,26/05/2025,morning,2025-05-26 08:17:03.945088,253,
229,2025-05-26 08:18:57.200953,1,Others,26/05/2025,afternoon,2025-05-26 08:18:57.200956,253,materials%20shifting%20(site%20vehicle%20driver%20and%20crane%20operator)
230,2025-05-26 08:18:57.263951,0,Welder / Gas Cutter / Grinder,26/05/2025,afternoon,2025-05-26 08:18:57.263954,253,materials%20shifting%20(site%20vehicle%20driver%20and%20crane%20operator)
231,2025-05-26 08:18:57.326716,0,Fitter / Fabricator,26/05/2025,afternoon,2025-05-26 08:18:57.326719,253,materials%20shifting%20(site%20vehicle%20driver%20and%20crane%20operator)
232,2025-05-26 08:18:57.389773,0,Rigger / Helper,26/05/2025,afternoon,2025-05-26 08:18:57.389776,253,materials%20shifting%20(site%20vehicle%20driver%20and%20crane%20operator)
233,2025-05-26 08:18:57.45272,0,Signal Man / Fire Man,26/05/2025,afternoon,2025-05-26 08:18:57.452722,253,materials%20shifting%20(site%20vehicle%20driver%20and%20crane%20operator)
